ÃÄ«~¥N½X,¾A¥Î±Ú¸s(¦¨¤H/¨àµ£),ÀËÅç¤è¦¡,¤U­­,¤W­­,¤U­­³æ¦ì,¤W­­³æ¦ì,«ØÄ³,³Æµù,·s¼W®É¶¡,­×§ï®É¶¡
OCAND8,¦¨¤H,Clcr,15.00,59.99,mL/min,mL/min,Renal impairment¡A adult (moderate to severe¡A CrCl 15 to 60 mL/min/1.73 m(2)): 8 mg daily may be a sufficient dose,Micromedex 20201123,202011231040,202011231048
OCAND8,¦¨¤H,Clcr,15.00,60.00,mL/min,mL/min,¹ï©óµÇ¥\¯à¤£¥þªÌ¡A¥]¬A¥¿¦b¶i¦æ¦å²G³zªRªº±wªÌ¡A°_©l¾¯¶q¬°4mg¡A¦A®Ú¾Ú±wªÌ¤ÏÀ³³v¦¸½Õ¾ã¾¯¶q¡C,¥é³æ,202011130850,202011130834
OCAND8,¨àµ£,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,Renal impairment¡A pediatric (GFR less than 30 mL/min/1.73 m(2)): Use not recommended,Micromedex 20201123,202011231140,202011231048
OCAP5,¦¨¤H,Clcr,0,29.90,mL/min,mL/min,Use is contraindicated.,,201803191622,
OCAP5,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,Reduce dose to 75% of usual dose,,201803191621,
OCAT,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à¤£¥þ¯f¤H¨Ì¯f±w­°À£¤ÏÀ³½Õ¾ã¾¯¶q¡A»Ý¤p¤ßºÊµ¦´ú,,201804130627,201804130627
OCAT2,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,Significant impairment or advanced renal disease: Use is not recommended.,,201912091133,201912091133
OCEFA,¦¨¤H,Clcr,0,9.99,mL/min,mL/min,Initial: 1g as single dose; maintenance: 500mg Q36H,Ref: Lexicomp Accessed: 2020-05-03,,202005030956
OCEFA,¦¨¤H,Clcr,0,0,mL/min,mL/min,Hemodialysis: 1g then 1g AD CAPD: 500 mg q24h CRRT: No data,Ref: Sanford Guide Web Ed. Accessed: 2020-05-03,,202005030959
OCEFA,¦¨¤H,Clcr,10.00,24.99,mL/min,mL/min,Initial: 1g as single dose; maintenance: 500mg QD,Ref: Lexicomp Accessed: 2020-05-03,,202005030955
OCEFA,¦¨¤H,Clcr,25.00,49.99,mL/min,mL/min,Initial: 1g as single dose; maintenance: 500mg Q12H,Ref: Lexicomp Accessed: 2020-05-03,,202005030955
OCEL2,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇ¥\¯à»ÙÃª¯f±w¤£«ØÄ³¨Ï¥Î,,201804141619,201804141619
OCEPH,¦¨¤H,Clcr,5.00,14.00,mL/min,mL/min,250mg every 24 hours,,,
OCEPH,¦¨¤H,Clcr,15.00,29.00,mL/min,mL/min,250mg every 8 or 12 hours,,,
OCEPH,¦¨¤H,Clcr,30.00,59.00,mL/min,mL/min,µL¶·½Õ¾ã¾¯¶q,1g/day,,
OCEPO,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÃÄª«¥NÁÂ·|´î§C¡A¦b¹F¨ì¹w´Á¤§ªvÀø®ÄªG«á¡AªAÃÄ¶¡¹j©y¥[¤j©Î¾¯¶q©y´î§C,­Y¦P®É¶·¨Ï¥Î§Q§¿¾¯«ØÄ³loop diuretic¡A¦Ó«Dthiazide-type diuretic,201804121544,
OCER4,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,Reduce the dosage to 400 mg orally once daily,,201804130653,201804130703
OCEX,¦¨¤H,eGFR,0,20.00,mL/min/1.73m2,mL/min/1.73m2,Reduce dose by 50%,Severe impairment & Anuric(eg¡A GFR <10 to 20 mL/minute/1.73 m2): Reduce dose by 50%,201909031537,201909031541
OCHA1,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,«ØÄ³°_©l¾¯¶q¬°¨C¤é¤@¦¸0.5 mg¡A±wªÌ±µµÛ¥i¥Hµø»Ý¨D½Õ¾ã¨ì³Ì¤j¾¯¶q¨C¤é¨â¦¸0.5mg,¦å²G³zªR¯f±w­Y¹ï¥»ÃÄ­@¨ü©Ê¨}¦n¡A¥i¥H¨Ï¥Î³Ì¤j¾¯¶q¨C¤é¤@¦¸0.5mg,201804191509,201804191514
OCHA5,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,«ØÄ³°_©l¾¯¶q¬°¨C¤é¤@¦¸0.5 mg¡A±wªÌ±µµÛ¥i¥Hµø»Ý¨D½Õ¾ã¨ì³Ì¤j¾¯¶q¨C¤é¨â¦¸0.5mg,¦å²G³zªR¯f±w­Y¹ï¥»ÃÄ­@¨ü©Ê¨}¦n¡A¥i¥H¨Ï¥Î³Ì¤j¾¯¶q¨C¤é¤@¦¸0.5mg,201804191515,201804191515
OCHE,¦¨¤H,Clcr,0,14.99,mL/min,mL/min,¤£«ØÄ³¨Ï¥Î,,,
OCHE,¦¨¤H,Clcr,15.00,30.00,mL/min,mL/min,one-half the usual dose,,,
OCIA5,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,for erectile dysfunction: as-needed use¡A MAX dose is5 mg ORALLY; do not repeat more frequently than once every 72 hours,for benign prostatic hyperplasia:once daily use¡A not recommended,201804192053,201804192057
OCIA5,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,for erectile dysfunction: 5 mg ORALLY once daily¡A MAX dose is 10 mg ORALLY not more frequently than once every 48 hours,for benign prostatic hyperplasia:2.5 mg ORALLY once daily; may increase to 5 mg ORALLY once daily,201804192055,201804192056
OCINO,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,MAX DOSE: 500mg/day,,201905220955,201905220955
OCINO,¦¨¤H,Clcr,30.00,60.00,mL/min,mL/min,MAX DOSE: 1000mg/day,,201905220955,
OCIPR,¦¨¤H,Scr,1.40,1.90,mg/dL,mg/dL,1000 mg/day,,,
OCIPR,¦¨¤H,Scr,2.00,10.00,mg/dL,mg/dL,500mg/day,,,
OCIZO,¦¨¤H,Clcr,0,50.00,mL/min,mL/min,There are no dosage adjustments provided in the manufacturer's labeling (has not been studied). Use with caution.,,202003121624,
OCOD,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,¤£«ØÄ³¨Ï¥Î,ÄY­«µÇ¥\¯à»ÙÃª¯f±w«ØÄ³¨Ï¥Îloop diuretics®ÄªG¡A·|¸ûthiazide¨Óªº¦n,201804121609,201804121609
OCODI,¦¨¤H,eGFR,0,10.00,mL/min/1.73m2,mL/min/1.73m2,50% of normal dose,,201804141528,201804141528
OCODI,¦¨¤H,eGFR,10.00,50.00,mL/min/1.73m2,mL/min/1.73m2,75% of normal dose,,201804141528,201804141528
OCOLC,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,0.3 mg/day orally initially; increase dose with adequate monitoring,Do not repeat course more than once every 2 weeks(gout),201804142307,201804142307
OCOMP,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à¤£¥þ±wªÌÀ³ÂÔ·V¨Ï¥Î,,201804231418,201804231418
OCON,¦¨¤H,Clcr,0,20.00,mL/min,mL/min,«ØÄ³ªì©l¾¯¶q: 2.5 mg ORALLY once daily,³Ì°ª¾¯¶q:10 mg ORALLY once daily,201804121446,201804121446
OCON1,¦¨¤H,Clcr,0,20.00,mL/min,mL/min,«ØÄ³ªì©l¾¯¶q: 2.5 mg ORALLY once daily,³Ì°ª¾¯¶q:10 mg ORALLY once daily,201804121448,201804121448
OCONI,¦¨¤H,Clcr,10.00,0,mL/min,mL/min,¤£«ØÄ³¨Ï¥Î©óÄY­«µÇ¥\¯à¤£¥þ±wªÌ(CLCR <10 ml/min),[¥é³æ],201912181529,
OCOP,¦¨¤H,Clcr,0,29.99,mL/min,mL/min,Contraindication.,,201812250937,201812250938
OCOR5,¦¨¤H,Clcr,0,15.00,mL/min,mL/min,À³ÂÔ·V¨Ï¥Î,,201804120042,201804120042
OCRA5,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,(¥]§t¦å²G³zªR¤Î¸¡½¤³zªR) ­ìµ¹ÃÄ¤è¦¡:500mg Q12H:­º¦¸¾¯¶q500mg¡A¤§«á125mg Q24H;  ­ìµ¹ÃÄ¤è¦¡:500mg Q24H:­º¦¸¾¯¶q500mg¡A¤§«á125mg Q24H;  ­ìµ¹ÃÄ¤è¦¡:250mg Q24H:­º¦¸¾¯¶q250mg¡A¤§«á125mg Q48H;,¥é³æ,202112141058,202112141051
OCRA5,¦¨¤H,Clcr,10.00,19.00,mL/min,mL/min,if normal adult dose is 750 mg every 24 hours change to 750 mg initially then 500 mg every 48 hours; 500 mg every 24 hours change to 500 mg initially then 250 mg every 48 hours; 250 mg every 24 hours change to 250 mg every 48 hours (no dose adjustment necessary if treating uncomplicated UTI).,Micromedexs 20211214,202112141042,202112141050
OCRA5,¦¨¤H,Clcr,10.01,19.00,mL/min,mL/min,­ìµ¹ÃÄ¤è¦¡:500mg Q12H:­º¦¸¾¯¶q500mg¡A¤§«á125mg Q12H;  ­ìµ¹ÃÄ¤è¦¡:500mg Q24H:­º¦¸¾¯¶q500mg¡A¤§«á125mg Q24H;  ­ìµ¹ÃÄ¤è¦¡:250mg Q24H:­º¦¸¾¯¶q250mg¡A¤§«á125mg Q48H;,¥é³æ,202112141056,202112141051
OCRA5,¦¨¤H,Clcr,20.00,50.00,mL/min,mL/min,­ìµ¹ÃÄ¤è¦¡:500mg Q12H:­º¦¸¾¯¶q500mg¡A¤§«á250mg Q12H;  ­ìµ¹ÃÄ¤è¦¡:500mg Q24H:­º¦¸¾¯¶q500mg¡A¤§«á250mg Q24H;  ­ìµ¹ÃÄ¤è¦¡:250mg Q24H:­º¦¸¾¯¶q250mg¡A¤§«á125mg Q24H;,¥é³æ,,202112141051
OCRA5,¦¨¤H,Clcr,20.00,49.00,mL/min,mL/min,if normal adult dose is 750 mg every 24 hours change to every 48 hours; 500 mg every 24 hours change to 500 mg initially then 250 mg every 24 hours; 250 mg every 24 hours is no adjustment necessary.,Micromedexs 20211214,202112141036,
OCRE,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,°_©l¾¯¶q:5 mg orally once daily,³Ì°ª¾¯¶q:10 mg orally once daily,201804130712,201804130712
OCUR,¦¨¤H,eGFR,30.00,0,mL/min/1.73m2,mL/min/1.73m2,¥»ÃÄ¥u¯à¥Î©óµÇµ·²y¹LÂo²v¤j©ó30²@¤É/¤ÀÄÁªº¯f±w,¥é³æ,202007290942,202007291116
OCUR,¦¨¤H,Clcr,0,0,mL/min,mL/min,Hemodialysis: Usual dose every 24 hours; additional dose both during and after each hemodialysis session,Micromedex 20200729,202007291118,202007291114
OCUR,¦¨¤H,Clcr,10.00,0,mL/min,mL/min,CrCl less than 10 mL/min¡A usual dose every 24 hours,Micromedex 20200729,202007291117,202007291118
OCUR,¦¨¤H,Clcr,30.00,10.00,mL/min,mL/min,CrCl 10 to 30 mL/min¡A usual dose every 12 hours,Micromedex 20200729,202007291117,202007291114
OCYM,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,¤£«ØÄ³¨Ï¥Î,,201804150044,201804150044
ODEF,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇ¥\¯à»ÙÃª¯f±w«ØÄ³¾¯¶q¬° 300 mg every 12 hours¡A¼W¥[¾¯¶q®É¶·ÂÔ·V¤p¤ß,,201804131623,201804131623
ODEN,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,Mild to severe impairment: 5 mg every other day.,,201804231512,
ODEPY,¦¨¤H,eGFR,0,9.99,mL/min/1.73m2,mL/min/1.73m2,Administer every 8 hours.,,202003201157,
ODEPY,¦¨¤H,eGFR,10.00,50.00,mL/min/1.73m2,mL/min/1.73m2,Administer every 6 hours.,,202003201157,
ODEPY,¨àµ£,eGFR,0,9.99,mL/min/1.73m2,mL/min/1.73m2,Administer every 8 hours.,,202003201158,
ODET,¦¨¤H,eGFR,30.00,0,mL/min/1.73m2,mL/min/1.73m2,µÇµ·²y¹LÂo²v¨C¤ÀÄÁ¤p©ó©Îµ¥©ó30 ²@¤É¯f±wªº«ØÄ³¾¯¶q¬O¨C¦¸1 ²@§J¡B¤@¤Ñ¤G¦¸,¥é³æ,202210171133,202210171433
ODET4,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,­««×µÇ¥\¯à¤£¥þ±wªÌ«ØÄ³¾¯¶q¬O¨C¦¸2²@§J¡B¤@¤Ñ¤@¦¸,,201804212256,201804212256
ODIBO,¦¨¤H,Scr,2.00,99.99,mg/dL,mg/dL,Serum creatinine >2 mg/dL or CrCl <25 ml/minute/1.73 m2: Use is not recommended; systemic AUC increased 6-fold in patients with CrCl <25 mL/ minute/1.73 m2.,,201810261032,201810261032
ODIC1,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,Significant impairment or advanced renal disease: Use is not recommended.,,201912091134,201912091134
ODIF,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,Give initial loading dose of 50 to 400 mg¡A followed by the usual dosage after each hemodialysis session and 50% of the usual dose on nondialysis days if CrCl is 50 mL/min or less.,,,
ODIF,¦¨¤H,Clcr,10.00,20.00,mL/min,mL/min,µ¹ÃÄ¶¡¹j72¤p®É©Î¥¿±`¨C¤é¾¯¶qªº¤T¤À¤§¤@,,,
ODIF,¦¨¤H,Clcr,21.00,40.00,mL/min,mL/min,µ¹ÃÄ¶¡¹j48¤p®É©Î¥¿±`¨C¤é¾¯¶qªº¤@¥b,,,
ODIG,¦¨¤H,Scr,0,0,mg/dL,mg/dL,µÇ¥\¯à»ÙÃª¤ÎµL§¿±Æªn¯f¤H¡A¥b°I´Á¥i¯à©µªø¦Ü100¤p®É¡A¦]¦¹¥i¯à»Ý­n´î¤Öºû«ù¾¯¶q¡C,,201804120036,202003131035
ODIG,¦¨¤H,eGFR,0,10.00,mL/min/1.73m2,mL/min/1.73m2,[UpToDate] 0.0625 mg every 48 hours,(10% to 25% of the usual dose every 48 hours),202003131030,202003131031
ODIG,¦¨¤H,eGFR,10.00,50.00,mL/min/1.73m2,mL/min/1.73m2,[UpToDate] 0.0625 mg every 24 to 36 hours,(25% to 75% of the usual dose every 24 to 36 hours),202003131030,202003131032
ODIG,¦¨¤H,eGFR,50.00,999.00,mL/min/1.73m2,mL/min/1.73m2,[UpToDate] No dosage adjustment necessary.,,202003131031,202003131030
ODIG,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,[UpToDate] 0.125 mg every 48 hours,,202003131033,202003131031
ODIG,¦¨¤H,Clcr,30.00,80.00,mL/min,mL/min,[UpToDate] 0.125 mg once daily,,202003131033,202003131031
ODIG,¦¨¤H,Clcr,80.00,120.00,mL/min,mL/min,[UpToDate] Alternate between doses of 0.25 mg and 0.125 mg once daily,,202003131033,202003131031
ODIG,¦¨¤H,Clcr,120.00,999.00,mL/min,mL/min,[UpToDate] 0.25 mg once daily,,202003131032,202003131031
ODIG2,¦¨¤H,Scr,0,0,mg/dL,mg/dL,µÇ¥\¯à»ÙÃª¤ÎµL§¿±Æªn¯f¤H¡A¥b°I´Á¥i¯à©µªø¦Ü100¤p®É¡A¦]¦¹¥i¯à»Ý­n´î¤Öºû«ù¾¯¶q¡C,,202003131034,202003131035
ODIG2,¦¨¤H,eGFR,0,10.00,mL/min/1.73m2,mL/min/1.73m2,[UpToDate] 0.0625 mg every 48 hours,(10% to 25% of the usual dose every 48 hours),202003131033,202003131031
ODIG2,¦¨¤H,eGFR,10.00,50.00,mL/min/1.73m2,mL/min/1.73m2,[UpToDate] 0.0625 mg every 24 to 36 hours,(25% to 75% of the usual dose every 24 to 36 hours),202003131034,202003131032
ODIG2,¦¨¤H,eGFR,50.00,999.00,mL/min/1.73m2,mL/min/1.73m2,[UpToDate] No dosage adjustment necessary.,,202003131034,202003131030
ODIG2,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,[UpToDate] 0.125 mg every 48 hours,,202003131034,202003131031
ODIG2,¦¨¤H,Clcr,30.00,80.00,mL/min,mL/min,[UpToDate] 0.125 mg once daily,,202003131034,202003131031
ODIG2,¦¨¤H,Clcr,80.00,120.00,mL/min,mL/min,[UpToDate] Alternate between doses of 0.25 mg and 0.125 mg once daily,,202003131034,202003131031
ODIG2,¦¨¤H,Clcr,120.00,999.00,mL/min,mL/min,[UpToDate] 0.25 mg once daily,,202003131034,202003131031
ODIP,¦¨¤H,Clcr,0,0,mL/min,mL/min,­««×µÇ¥\¯à¤£¥þ¤§¯f±w¤£«ØÄ³¨Ï¥Î(¯S§O¬OµL§¿¯g),,201804160549,201804160549
ODOG5,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,34% of normal dose,,201804142351,201804142351
ODOG5,¦¨¤H,Clcr,10.00,30.00,mL/min,mL/min,50% of normal dose,,201804142351,
ODOG5,¦¨¤H,Clcr,30.00,60.00,mL/min,mL/min,70% of normal dose,,201804142350,
ODOLC,¦¨¤H,Clcr,30.00,120.00,mL/min,mL/min,µL¶·½Õ¾ã¾¯¶q,,,
ODOM,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,Depending on severity of impairment¡A frequency should be reduced to 1 to 2 times daily and dosage reduction considered with repeated administration.,,201812281051,
ODOP,¦¨¤H,Clcr,0,15.00,mL/min,mL/min,200 mg orally every 7 days,,202003151140,201806141747
ODOP,¦¨¤H,Clcr,15.00,29.00,mL/min,mL/min,200 mg orally on first day then 100 mg every other day,,202003151140,201806141747
ODOP,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,200 mg orally on first day then 100 mg/day,,202003151140,201806141747
ODOR4,¦¨¤H,Clcr,0,0,mL/min,mL/min,¦]¥D­n°Æ§@¥Î¬°¤Þ°_¯B¸~.¦åÀ£¤W¶Ë¡AµÇÅ¦¯e¯f±wªÌÀ³ª`·N,,201804231421,201804231421
ODUO,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,¥¼´ÁµÇ¯f±wªÌ¥¼¶i¦æ¬ã¨s,,201804212309,201804212309
ODUO,¦¨¤H,Clcr,10.00,30.00,mL/min,mL/min,¤¤«×¨ì­««×µÇ¥\¯à¨ü·l±wªÌµL¶·½Õ¾ã¾¯¶q,,201804212309,
OEBI,¦¨¤H,Clcr,5.00,29.00,mL/min,mL/min,reduce dosage to 5 mg ORALLY twice daily,Micromedex 20220209,201804160555,202202091116
OEBI,¦¨¤H,Clcr,5.00,49.00,mL/min,mL/min,¤¤«×¨ü·l(Clcr:30-49)¤Î­««×¨ü·l(Clcr:5-29)±wªÌ¨C¤é¾¯¶qÀ³¬°10mg,¥é³æ,202202091133,202202091116
OEFE7,¦¨¤H,eGFR,10.00,70.00,mL/min/1.73m2,mL/min/1.73m2,«ØÄ³­°§C25-50%¥Î¶q¶}©lªvÀø¡C,¦å²G³zªRªkªvÀø¤§±wªÌ¡A«ØÄ³¥H­°§C50%¤§¥Î¶q¶}©lªvÀø¡A¥Bµ¥¦å²G³zªR(¥|¤p®É)§¹¦¨«á¦AªA¥ÎÃÄª«,201804150053,
OEFI3,¦¨¤H,Clcr,0,50.00,mL/min,mL/min,No dosage adjustment is necessary for patients with renal impairment; however¡A there is limited information in patients with end-stage renal disease,,202004021107,
OELI,¦¨¤H,Scr,1.50,7.00,mg/dL,mg/dL,¦å²M¦Ù»ÄÓþ¤j©ó©Îµ¥©ó1.5mg/dL¡A¥B¨Ö¦³¦~ÄÖ¤j©óµ¥©ó80·³©ÎÅé­«¤p©óµ¥©ó60¤½¤ç¡A«ØÄ³¾¯¶q¬°2.5mg¡A¤@¤Ñ¨â¦¸¡C,¥é³æ,202201251635,202201251637
OELI,¦¨¤H,Clcr,0,14.99,mL/min,mL/min,Avoid use in severe renal impairment.,,201807011130,
OELI,¦¨¤H,Clcr,15.00,29.99,mL/min,mL/min,2.5 mg twice daily.,,201807011129,
OELI2,¦¨¤H,Scr,1.50,7.00,mg/dL,mg/dL,¦å²M¦Ù»ÄÓþ¤j©ó©Îµ¥©ó1.5mg/dL¡A¥B¨Ö¦³¦~ÄÖ¤j©óµ¥©ó80·³©ÎÅé­«¤p©óµ¥©ó60¤½¤ç¡A«ØÄ³¾¯¶q¬°2.5mg¡A¤@¤Ñ¨â¦¸¡C,¥é³æ,202201251640,202201251637
OELI2,¦¨¤H,Clcr,0,14.99,mL/min,mL/min,Avoid use in severe renal impairment.,,201908071537,
OELI2,¦¨¤H,Clcr,15.00,29.99,mL/min,mL/min,2.5 mg twice daily.,,201908071537,
OEND,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,ÄY­«µÇ¥\¯à¤£¥þªÌ¡A«h­°§C50%ªº¾¯¶q,,201804261547,202106181414
OENTR,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,«ØÄ³°_©l¾¯¶q¬°¨C¤é2¦¸50mg,¨Ì±wªÌ­@¨ü±¡ªp¡A¨C2¦Ü4©P¥[­¿Entrestoªº¾¯¶q¡A¹F¨ì¨C¤é2¦¸200mgªº¥Ø¼Ðºû«ù¾¯¶q,201804130633,201804130633
OENZI,¦¨¤H,Clcr,0,15.00,mL/min,mL/min,200 mg orally every 7 days,,201806141747,201806141747
OENZI,¦¨¤H,Clcr,15.00,29.00,mL/min,mL/min,200 mg orally on first day then 100 mg every other day,,201806141748,201806141747
OENZI,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,200 mg orally on first day then 100 mg/day,,201806141748,201806141747
OEPB,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,20 to 25 mg/kg orally 3 times per week.,25mg/kg orally 3 times per week,,
OEPC,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,¥Ø«e©|¥¼°w¹ï­««×µÇ¥\¯à¤£¥þ©Î±w¦³¶·±µ¨ü¦å²G³zªRªvÀø¤§¥½´ÁµÇ¯f¡]ESRD¡^ªº±wªÌµû¦ô¹LEpclusaªº¦w¥þ©Ê»PÀø®Ä,,201910061123,
OEPR,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,Severe impairment: CrCl <30 mL/minute: Use with caution.,,201910061207,
OERAF,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,Treatment/Prophylaxis: ESRD not undergoing dialysis: Use is not recommended (has not been studied),,201811211422,201811231050
OERAF,¦¨¤H,Clcr,10.01,30.00,mL/min,mL/min,Treatment: 30 mg once daily Prophylaxis: 30 mg every other day,,201811211422,201811231050
OERAF,¦¨¤H,Clcr,30.01,60.00,mL/min,mL/min,Treatment: 30 mg twice daily Prophylaxis: 30 mg once daily,,201811211421,201811231050
OESM,¦¨¤H,Clcr,0,0,mL/min,mL/min,¥Ñ©ó¯Ê¥F¯S©w¬ã¨s¡A¦]¦¹ulipristal acetate¨Ã¤£«ØÄ³¨Ï¥Î©óÄY­«µÇ¥\¯à¤£¥þªº¯f±w¡A°£«D¯f±w±µ¨ü±K¤ÁºÊ´ú,,201804242338,201804242338
OEVO,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à¤£¥þªÌ«ùÄòºû«ùÃÄª«¦å¤¤°ª¿@«×¡A¦Ó¥i¯à´£°ª°Æ§@¥Îªºµo¥Í²v,,201804191426,201804191426
OFAM,¦¨¤H,Clcr,0,9.99,mL/min,mL/min,¦å²G³zªR¯f¤H:"¨C¦¸¬~µÇ¤§«áÀ³¥ß§Y§ë¤© famciclovir¡F±aª¬ž\¯l±wªÌ:«ØÄ³¾¯¶q¬° 250 ²@§J;¥Í´Þ¾¹ž\¯l±wªÌ:125²@§J",,,
OFAM,¦¨¤H,Clcr,10.00,30.00,mL/min,mL/min,"ªvÀø±aª¬ž\¯l»Pªìµo©Ê¤§¥Í´Þ¾¹ž\¯l·P¬V¯g¡G¨C¤Ñ125²@§J¡A¤@¤Ñ¤T¦¸;ªvÀø«æ©Ê´_µo¤§¥Í´Þ¾¹ž\¯l·P¬V¯g®É¡AµL¶·½Õ¾ã¾¯¶q",,,
OFAMO,¦¨¤H,Clcr,0,0,mL/min,mL/min,¬~µÇ±wªÌ: 1 ¦¸ 20mg ¬~µÇ«á 1 ¦¸,¥é³æ,201909251622,202008031024
OFAMO,¦¨¤H,Clcr,29.99,0,mL/min,mL/min,If usual dose is 10 mg twice daily or 20 mg once daily: 10 mg every other day; If usual dose is 20 mg twice daily: 10 mg once daily or 20 mg every other day,UpToDate 20200803,202008031028,202008031024
OFAMO,¦¨¤H,Clcr,30.00,0,mL/min,mL/min,1 ¦¸ 20mg¡A 2¡ã3 ¤é 1 ¦¸,¥é³æ,201909251621,202008031024
OFAMO,¦¨¤H,Clcr,59.99,30.00,mL/min,mL/min,If usual dose is 10 mg twice daily or 20 mg once daily: 10 mg once daily or 20 mg every other day; If usual dose is 20 mg twice daily: 20 mg once daily or 40 mg every other day,UpToDate 20200803,202008031029,202008031024
OFAMO,¦¨¤H,Clcr,60.00,30.00,mL/min,mL/min,1 ¦¸ 20mg ¡A1 ¤é 1 ¦¸,¥é³æ,201909251621,202008031024
OFAX,¦¨¤H,Clcr,0,0,mL/min,mL/min,»´«×©Î¤¤«×µÇ¥\¯à¤£¥þ¯f±w «ØÄ³­°§C usual dosage by 25% to 50%,¦å²G³zªR¯f±w «ØÄ³Decrease usual dosage by 50%,201804150048,201804150050
OFEB,¦¨¤H,Clcr,15.00,29.00,mL/min,mL/min,Limit dose to 40 mg once daily,,201804142310,201804142310
OFLU,¦¨¤H,Scr,2.50,0,mg/dL,mg/dL,À³Á×§K¨Ï¥Î,,201804120103,201804120104
OFLUC,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,There are no dosage adjustments provided in the manufacturer's,,201804191057,
OFOL,¦¨¤H,Clcr,0,0,mL/min,mL/min,¯f¤H­Y¦³¸¡¤ô¡A¯Ý½¤º¯³z²G¡AµÇ¥\¯à»ÙÃª©ÎHydration¤£°÷®É·|©µ¿ðmethotrexate±Æ¥X¡AÀ³¦Ò¼{¼W¥[Folina¾¯¶q©Î©µªøªvÀø®É¶¡,­Y«ØÄ³¾¯¶q°ª©ó¤fªA¨Ï¥Î³\¥i¾¯¶q¡AÀ³§ï¥HÀR¯ßª`®gµ¹ÃÄ,201804191520,201804191520
OFOR,¦¨¤H,eGFR,0,25.00,mL/min/1.73m2,mL/min/1.73m2,°w¹ï¦¹Ãþ¯f¤H¤£«ØÄ³¶}©lªvÀø¡AµM¦ÓForxigaªvÀø«á¡AeGFR­°§C¦Ü¤p©ó25 mL/min/1.73 m2ªº¯f¤H¡A¥i«ùÄò¨Ï¥Î¥H­°§CeGFR¤U­°¡BESKD¡B¤ß¦åºÞ¦º¤`©M¤ß°IºÜ¦í°|ªº­·ÀI¡C,¥é³æ,202109140952,202111301201
OFOR,¦¨¤H,eGFR,0,0,mL/min/1.73m2,mL/min/1.73m2,³zªR¯f±w¸T¤î¨Ï¥ÎForxiga.,¥é³æ,202109140957,202111301203
OFOR,¦¨¤H,eGFR,0,0.01,mL/min/1.73m2,mL/min/1.73m2,Renal impairment (ESRD or dialysis) in any population: Use is contraindicated.,Micromedex 20210914,202109141105,202109141106
OFOR,¦¨¤H,eGFR,0,45.00,mL/min/1.73m2,mL/min/1.73m2,used for glycemic control: Use not recommended. type 2 diabetes when used to reduce risk of hospitalization for heart failure: Insufficient data to support dose adjustment recommendation.,Micromedex 20210914,202109141055,202109141100
OFOR,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,used for glycemic control: Use is contraindicated. heart failure with reduced ejection fraction (with or without type 2 diabetes) when used to reduce risk of cardiovascular death/hospitalization: Insufficient data to support dose adjustment recommendation.,Micromedex 20210914,202109141057,202109141059
