ÃÄ«~¥N½X,ÃÄ«~¾Ç¦W,ÃÄ«~¦WºÙ,ÃÄ«~¤ÀÃþ,¾AÀ³¯g,¸T§Ò,°Æ§@¥Î,Àx¦s,¥Îªk¥Î¶q,¨x¥\¯à²§±`(Y/N),¨x¥\¯à²§±`»¡©ú,µÇ¥\¯à²§±`(Y/N),Ãh¥¥¥ÎÃÄ¦MÀI¤À¯Å,¥¥´Á¥ÎÃÄ«ØÄ³,¥¥´Áªþ±a»¡©ú,­÷¨Å´Á¥ÎÃÄ«ØÄ³,­÷¨Å´Áªþ±a»¡©ú,µ¹ÃÄ³~®|,°®¯»µ}ÄÀ²G,¿éª`ÂIºw²G,IVP¥Îªk«ØÄ³,IVD¥Îªk«ØÄ³,ª`·N¨Æ¶µ
ESER1,Salmeterol + Fluticasone,SERETIDE 125 EVOHALER,ERSP,Regular treatment of reversible obstructive airways disease (ROAD)¡A including asthma in adult & children¡A where combination therapy (bronchodilator & inhaled corticosteroid) is appropriate. Seretide Accuhaler 250/Seretide Evohaler 125/Seretide Evohaler 250 Maintenance treatment of COPD including chronic bronchitis & emphysema.,History of hypersensitivity to any of the ingredients of Seretide.,Hoarseness or dysphonia¡A throat irritation¡A headache¡A candidiasis of mouth & throat¡A palpitations¡A tremor¡A paradoxical bronchospasm¡A arthralgia. Gastrointestinal: Nausea (COPD¡A above 5% )¡A Oral candidiasis (asthma¡A 1% to 4%; COPD¡A 10% ) Musculoskeletal: Musculoskeletal pain (asthma¡A 2% to 7%; COPD¡A 9% ) Neurologic: Dizziness (asthma¡A 1% to 4%; COPD¡A 4% and greater )¡A Headache (9% to 21% ) Respiratory: Bronchitis (asthma¡A 2% to 8% )¡A Cough (asthma¡A 3% to 6% )¡A Difficulty speaking¡A Hoarse¡A Pharyngitis (asthma¡A 10% to 13% )¡A Throat irritation (7% to 9% )¡A Upper respiratory infection (asthma¡A 16% to 27%; COPD¡A greater than 5% )¡A Viral lower respiratory infection (3% to 6% ),°®ÀêÁ×ÅÎ30¢J¥H¤U,Asthma: Adults and adolescents 12 years and older: Two inhalations of 25 mcg salmeterol and 125 mcg fluticasone propionate twice daily. or Two inhalations of 25 mcg salmeterol and 250 mcg fluticasone propionate twice daily. Children 4 years and older: 2 inhalation of 25 mcg salmeterol and 50 mcg fluticasone propionate twice daily. There are no recommended doses available in children aged under 4 years. Chronic Obstructive Pulmonary Disease (COPD): For adult patients the recommended dose is 2 inhalation 50/250 micrograms to 50/500 micrograms salmeterol/fluticasone propionate twice daily.,µL»Ý½Õ¾ã¾¯¶q,,µL»Ý½Õ¾ã¾¯¶q,°£«DªvÀø¤W»Ý­n,No (limited) human data ¡V probably compatible,SALMETEROL PREGNANCY RECOMMENDATION: Limited Human Data¡XProbably Compatible FLUTICASONE PREGNANCY RECOMMENDATION: Compatible,No (Limited) Human Data - Probably Compatible µL(«Ü¤Ö)¸ê®Æ - ¥i¨Ï¥Î,SALMETEROL BREASTFEEDING RECOMMENDATION: No Human Data¡XProbably Compatible FLUTICASONE BREASTFEEDING RECOMMENDATION: No Human Data¡XProbably Compatible,IH;INHL;,,,,,
IRECB,Epoetin beta,Recormon inj 2000IU(­­¬~µÇ«Ç¥Î),HEMT,Treatment of anaemia associated w/ chronic renal failure (CRF) in patients on dialysis; treatment of symptomatic renal anaemia in patient not yet undergoing dialysis. Treatment of symptomatic anaemia in adult patients w/ non-myeloid malignancies receving chemotherapy. Increasing the yield of autologous blood from patients in pre-donation programmes. Prevention of anaemia in premature infant (<34 wk; 750-1¡A500 g birth wt).,Hypersensitivity. Poorly controlled HTN. Patients¡A who in the mth preceding treatment¡A have suffered a MI or stroke. Unstable angina pectoris. Patients at risk of DVT.,Increased BP¡A increased platelet count¡A encephalopathy-like symptoms¡A thromboembolic event¡A rash¡A pruritus¡A urticaria or inj site reactions.,2-8¢JÁ×¥ú,Anaemia with CRF: (Initially)SC¡A 3 x 20 IU/kg/week ¡A if the increase of hemoglobin level is inadequate (<0.25g/dL per week)¡A may be increased every 4 week by 3 x 20 IU/kg/week; IV¡A 3 x 40 IU/kg¡A may up to 80 IU/kg after 4 weeks¡A 3 times a week. (Maintenance) Half of initial dose¡A depend on individuals. Symptomatic anemia in patients with tumors/Multiple myeloma/Low grade non-Hodgkin¡¦s lymphoma/Chronic lymphocytic leukemia: Initial dose of 450 IU/kg/week¡A may up to 900 IU/kg/week.,µL»Ý½Õ¾ã¾¯¶q,,µL»Ý½Õ¾ã¾¯¶q,¨S¦³¸ê®Æ,Uknown ¨S¦³¸ê®Æ,EPOETIN ALFA: Compatible¡XMaternal Benefit >> Embryo¡VFetal Risk ¥é³æ¸ê®Æ¡G °Êª«¬ã¨s¨Ã¥¼Åã¥Ü¥»«~·|¹ïÃh¥¥¡B­F­L/­L¨àµo¨|¡B¤À®Y©Î¥X¥Í«áµo¨|³y¦¨ª½±µ©Î¶¡±µªº¶Ë®`¡C ´Nepoetin beta¦Ó¨¥¡A¦bÃh¥¥´Á¶¡±µÄ²¨ì®e¥i°Ò¦³Ãöªº©Ò¦³¦w¥þ©Ê¸ê®Æ¡A³£¬O·½¦Û¤W¥««áªº¨Ï¥Î¸gÅç¡C ¦b¤@¶µ°w¹ï²{¦³¤§¤W¥««á¸ê®Æ©Ò¶i¦æªº±´°Q¤¤¡A¨Ã¥¼µo²{¥ô¦óÃÒ¾ÚÅã¥ÜÃh¥¥¡B­F­L/­L¨àµo¨|©Î¥X¥Í«á µo¨|¤è­±ªº¶Ë®`§@¥Î©M¨Ï¥Î®e¥i°ÒªvÀø¤§¶¡¦³¦]ªG¤WªºÃöÁp©Ê¡C ¤£¹L¡A¥Ñ©ó¯Ê¥FÁ{§É¬ã¨sªº¸ê®Æ¡A¹ïÃh¥¥°ü¤k³B¤è¥»«~®É¤´À³ÂÔ·V±q¨Æ¡C,Unknown ¨S¦³¸ê®Æ,EPOETIN ALFA: Compatible ¥é³æ¸ê®Æ¡G ¦b¤HÃþ±Â¨Å´Á¶¡¨Ï¥Î¥»«~¥Ø«e¶È¦³¦³­­ªº¸gÅç¡C¤º·½©Ê¬õ¦å²y¥Í¦¨¯À·|¤Àªc¶i¤J¤HÃþªº¨Å¥Ä¡A¨Ã¥B «Ü®e©ö¬°·s¥Í¨àªº­G¸z¹D©Ò§l¦¬¡CÀ³¿Å¶qÁý­÷¥À¨Å¹ï¨àµ£ªº®Ä¯q¥H¤Î¨Ï¥Îepoetin betaªvÀø¹ï°ü¤kªº ®Ä¯q¡A¦A°µ¥X¬O§_­nÄ~Äò©Î°±¤îÁý­÷¥À¨Å¡A©Î¬O§_­nÄ~Äò©Î°±¤î¨Ï¥Îepoetin betaªvÀø¤§¨M©w¡C,IVD;IVPUSH;SC;,,,ª`®gÃÄ¾¯ªº®É¶¡­n¤j©ó¨â¤ÀÄÁ¡A¦å²G³zªR¯f¤H¥i¥H¦b¬~µÇµ²§ô®É¸g¥Ñ°Ê-ÀR¯ß°úºÞ¶i¦æª`®g¡C,ÀR¯ßª`®g®É¡Aª`®gÃÄ¾¯ªº®É¶¡­n¤j©ó¨â¤ÀÄÁ¡A¦å²G³zªR¯f¤H¥i¥H¦b¬~µÇµ²§ô®É¸g¥Ñ°Ê-ÀR¯ß°úºÞ¶i¦æª`®g¡C,1.¦b¨S¦³¬Û®e©Ê¬ã¨sªº±¡ªp¤U¡A¥»«~¤£¥i»P¨ä¥¦ÃÄª«²V¦X¨Ï¥Î¡C 2.°t»s¦n·»²G¥i¥H¸g¥Ñ¥Ö¤U©Î¬OÀR¯ßª`®g¨Ï¥Î¡C·í¨Ï¥ÎÀR¯ßª`®g®É¡Aª`®gÃÄ¾¯ªº®É¶¡­n¤j©ó¨â¤ÀÄÁ¡AÄ´¦p»¡¡A¦å²G³zªR¯f¤H¥i¥H¦b¬~µÇµ²§ô®É¸g¥Ñ°Ê-ÀR¯ß°úºÞ¶i¦æª`®g¡C
IRIF,Rifamycin SV,Rifocin inj 500mg/10mL,QANB,,,,,,,,,,,,,,,,,,,
EASA,Mesalazine,Asacol 500mg suppository,ALIM,Treatment of mildly to moderately active ulcerative proctitis¡A colitis¡A or proctosigmoiditis.,Patients with known or suspected hypersensitivity to salicylates or aminosalicylates or to any ingredients in the suppository vehicle. Severe renal impairment: eGFR<30mL/min/1.73m2. Severe liver impairment. Age <2 years.,Common Dermatologic: Rash (Up to 6% ; pediatrics¡A 5% ) Gastrointestinal: Abdominal pain (Adult¡A 2.2% to 18% ; pediatrics 5% or more )¡A Burping (16% )¡A Diarrhea (Adults¡A up to 8% ; pediatrics¡A 5% )¡A Nausea (Up to 4% )¡A Vomiting (Less than 1% to 5% ; pediatric¡A 5% or more ) Musculoskeletal: Arthralgia (Less than 3% to greater than 5% ) Neurologic: Asthenia (Less than 1% to greater than 5% )¡A Headache (Adults¡A 2.9% to 14% ; pediatrics¡A 5% or more ) Respiratory: Nasopharyngitis (Adults¡A 1.4% to 4% ; pediatrics¡A 15% )¡A Rhinitis (5% or more ) Other: Pain (Up to 14% ) Serious Cardiovascular: Myocarditis¡A Pericarditis Dermatologic: Generalized exanthematous pustulosis¡A acute¡A Stevens-Johnson syndrome¡A Toxic epidermal necrolysis Gastrointestinal: Exacerbation of ulcerative colitis (Pediatrics¡A 12% )¡A Gastrointestinal hemorrhage (2% or greater )¡A Pancreatitis (Less than 1% )¡A Rectal hemorrhage (Less than 3% to 2% or greater.) Hematologic: Agranulocytosis¡A Aplastic anemia¡A Leukopenia¡A Neutropenia¡A Pancytopenia¡A Thrombocytopenia (Less than 1% ) Hepatic: Cholestatic hepatitis (Less than 3% )¡A Hepatotoxicity¡A Liver failure¡A Sclerosing cholangitis Immunologic: Anaphylaxis¡A Angioedema¡A Drug reaction with eosinophilia and systemic symptoms¡A Edema of face (Less than 1% )¡A Hypersensitivity reaction Renal: Renal impairment Other: Infectious disease¡A Intolerance to drug¡A Syndrome,°®Àê³±²D(15-25¢J)³B,1-2 suppository TID¡A after a bowel movement. The dose depends on the response.,µL»Ý½Õ¾ã¾¯¶q,[¥é³æ] ÄY­«¨x·l¶ËªÌ¸T¥Î¡C³ø§iÅã¥Ü¯f¤HªA¥Î§t¦³mesalazineÃÄª«¡A¨ä¨x»Ã¯À¼Æ­È·|¤É°ª¡A«ØÄ³¨x¥\¯à¤£¥þ¤§¯f¤HÀ³¤p¤ß¨Ï¥Î¡C,µL»Ý½Õ¾ã¾¯¶q,¨S¦³¸ê®Æ,Compatible,MESALAMINE: Compatible [¥é³æ] Mesalazine¥Î©óÃh¥¥°ü¤k¤§Á{§É¬ã¨s«D±`¦³­­¡C¦³­­ªº¬ã¨s¤¤(627¦ì)¨Ã¥¼µo²{¹ïÃh¥¥°ü¤k ©Î°·±d­L¨à/·s¥Í¨à³y¦¨¶Ë®`¡C¨´¤µ¬°¤îÁÙ¥¼¦³¨ä¥L¬ÛÃöªº¬y¦æ¯f¾Ç¼Æ¾Ú¡C´¿¦³¤@¨Ò³ø§iÅã¥Ü ¡A¦bÃh¥¥´Á¶¡ªø´ÁªA¥Î°ª¾¯¶q¡]2-4 g¡A ¤fªA¡^ªºmesalazine¡A¾É­P·s¥Í¨àªºµÇ¥\¯à°IºÜ¡C ¥HMesalazine§@°Êª«¤fªA¸ÕÅç¡A¹ïÃh¥¥¡B­F­L/­L¨àªºµo®i¨ÃµLª½±µ©Î¶¡±µ¶Ë®`¡A ¯S§O¬O²£«áµo®i¡CÃh¥¥´Á¶¡¡AmesalazineÀ³¶È­­©óÂå®v§PÂ_ªvÀø»Ý­n©Ê¤j©ó¥i¯àµo¥Í¤§­·ÀI¡A ¥BÀ³ÂÔ·V¨Ï¥Î¡C,No (Limited) Human Data - Potential Toxicity µL(«Ü¤Ö)¸ê®Æ - Á×§K¨Ï¥Î,MESALAMINE: Limited Human Data¡XPotential Toxicity [¥é³æ] N-acetyl-5-aminosalicylic acid¤Î¤Ö¶qmesalazine³Q±Æ¦Ü¨Å¥Ä¡AÁö¨äÁ{§É·N¸q¤£½T©w¡C ¨´¤µ¬°¤î­÷¨Å¤§¬ÛÃö¬ã¨s¦³­­¡CÀ¦¥®¨àµLªk±Æ°£¤§¹L±Ó¤ÏÀ³¡A¦p¡G¸¡Âm¡C¦]¦¹¡A ­÷¨Å´Á¶¡¨Ï¥ÎmesalazineÀ³§PÂ_ªvÀø»Ý­n©Ê¤j©ó¥i¯àµo¥Í¤§­·ÀI¡C °²¦p¯f¤H¦bªvÀø´Á¶¡¥X²{À¦¥®¨à¸¡Âm¯gª¬¡AÀ³¥ß§Y°±¤î­÷¨Å¡C,R;RECT;,,,,,1. Àx¦s©ó°®Àê³±²D(15-25¢J)³B¡C 2. ½ÐÀx¦s©ó­ì¥]¸Ë¤¤Á×¥ú«O¦s¡A¨Ï¥Î«e»Ý©î¶}¶ì½¦¥]¸Ë.
ODEL,Dexchlorpheniramine,Delamin 2mg,HIMM,Palliative treatment of allergic reaction.,Acute attack of asthma. Premature infants.,Drowsiness¡A dizziness; dry mouth. GIT disturbances. Hypotension¡A muscular weakness¡A tinnitus¡A euphoria¡A headache. CNS stimulation. Allergic reaction. Blood disorders.,25¢J¥H¤U,Adult: 1 TAB. TID-QID. Children : 6-12 years 1/2 TAB. 3-6 years 1/4 TAB. TID-QID.,µL»Ý½Õ¾ã¾¯¶q,There are no dosage adjustments provided in the manufacturer¡¦s labeling.,µL»Ý½Õ¾ã¾¯¶q,¨S¦³¸ê®Æ,Compatible,,No (Limited) Human Data - Probably Compatible µL(«Ü¤Ö)¸ê®Æ - ¥i¨Ï¥Î,,AC;AC15;PC;PO;WM;,,,,,
OBCO,Vitamin B complex,Betacom(B complex) ­­¦Û¶O,NUTR,,¾AÀ³¯g: Prevention & treatment of vit B deficiency.,,«Ç·Å,Adult 2-3 tab daily¡A children 8-12 years 1 tab daily¡A 5-7 years 1/2 tab daily.,,,,¦w¥þ,,,Compatible ­÷¨Å®É¥i¨Ï¥Î,,,,,,,
YGLU,Glucosamine 150m,¾¾¥ß³ß¼Ö¸²Ói300'S,NUTR,,,,,,,,,,,,,,,,,,,
OCELA,Pergolide,CELANCE 0.25mg,CNEU,,¾AÀ³¯g:±±¨î¶g´Á©ÊªÏÅéÅ¸°Ê¡B¸£¯«¸g¿E¯À½Õ¾ãµ¥(B019552100),,,Initially 0.05 mg daily for the first 2 days¡A gradually increased by 0.1 or 0.15 mg daily every 3rd day over the next 12 days . Then increase by 0.25 mg daily every 3rd day until optimal response. Max: 5 mg daily. Usually administered in divided dose 3 times/day. Dosage of concurrent l-dopa/carbidopa may be cautiously decreased during dosage titration.,,,,¥i¯à¦w¥þ,,,,,,,,,,
OLOD,Zotepine,Lodopin 25mg,CNEU,,¾AÀ³¯g: Schizophrenia. °Æ§@¥Î: Sleepiness¡A weakness¡A malaise¡A insomnia¡A thirst¡A constipation¡A dizziness. ¸T§Ò:Patients with coma or circulatory collapse¡A patients on epinephrine¡A hypersensitivity to phenothiazines¡A suspected subcortical lesions (eg encephalitis¡A cerebral tumor & sequelae of brain trauma).,,«Ç·Å,Adult: 75-150 mg daily in divided doses¡A up to 450 mg/day,,,,¨S¦³¸ê®Æ,,,,,,,,,,
INOV3,Insulin Aspart 30 + NPH 70,Novomix 30 penfill 3mL,META,,¾AÀ³¯g:Treatment of patients with diabetes mellitus. °Æ§@¥Î:Hypoglycaemia¡A edema¡A refraction anomalies¡A hypersensitivity reactions¡A lipodystrophy ¸T§Ò:Hypoglycaemia.,,2-8¢J,Individualised dosage. Administered by SC inj. Penfill should be used with NovoPen 4 & NovoFine Needles,,,,¨S¦³¸ê®Æ,,,Compatible ­÷¨Å®É¥i¨Ï¥Î,,,,,,,
OFOX,Flavoxate,FOXate 200 mg,SGU,,¾AÀ³¯g: Symptomatic relief of prostatitis¡A urinary frequency. °Æ§@¥Î: GI disturbances; hypersensitivity reactions; headache¡A sedation¡A vertigo¡A confusion; intraocular pressure. Rarely¡A leukopenia. ¸T§Ò: GI hemorrhage; obstructive uropathies of the lower urinary tract. Children <12 years. Pyloric or duodenal obstruction¡A obstructive intestinal lesions of ileus.,,«Ç·Å,Adult:1 tab tid.,,,,¥i¯à¦w¥þ,,,No (Limited) Human Data - Probably Compatible µL(«Ü¤Ö)¸ê®Æ - ¥i¨Ï¥Î,,,,,,,
IFIB,Sodium Tetradecyl Sulphate,FIBRO-VEIN inj 3%¡A 5mL,ZOTH,,,,,,,,,,,,,,,,,,,
IPUR3,Follitropin beta,PUREGON cartridge 300IU,HM,,¾AÀ³¯g:Treatment of female infertility due to anovulation in women who have been unresponsive to treatment with clomiphene citrate. Controlled ovarian hyperstimulation to induce the development of multiple follicles in medically assisted reproduction programs. °Æ§@¥Î:Ovarian hyperstimulation¡A bruising¡A pain¡A redness¡A swelling & itching¡A ectopic pregnancy¡A multiple gestations¡A arterio-thromboembolisms. ¸T§Ò:Ovarian¡A breast¡A uterine¡A pituitary or hypothalamic tumours. Pregnancy or lactation. Undiagnosed vag bleeding. Primary ovarian failure. Ovarian cysts or enlarged ovaries¡A not related to polycystic ovarian disease (PCOD). Sexual organ malformations incompatible with pregnancy. Uterine fibroid tumours incompatible with pregnancy.,,2 ~ 8 ¢XC,Anovulation 50 iu daily¡A maintained for at least 7 days. Controlled ovarian hyperstimulation in medically assisted reproduction programs Starting dose of 100-225 iu for at least the 1st 4 days,µL»Ý½Õ¾ã¾¯¶q,,µL»Ý½Õ¾ã¾¯¶q,¤£¥i¨Ï¥Î,Uknown ¨S¦³¸ê®Æ,,Unknown ¨S¦³¸ê®Æ,,SC;,,,,,1. ¥»ÃÄ«~¬Oª`®g§X³]­p¡A»Pª`®gµ§°t¦X¨Ï¥Î¡C
IDEX,Low Molecular Dextran Dextrose,Dextran (¦å½ç¦h®Ôºw) inj 500mL,HEMT,As plasma expander in haemorrhage.,Hypersensitivity. Severe renal disease with oliguria or anuria. Marked cardiac decompensation. Pregnancy.,GI disturbances; headache¡A dizziness; allergic reactions; raised liver enzyme values; alopecia; bone marrow suppression.,30¢J¥H¤U,Normally IV 500mL one time. IV 20 mL/kg on the first 24 hours. For treatment or prevention of thrombosis¡A 10mL/kg daily in 5 days.,µL»Ý½Õ¾ã¾¯¶q,Use with extreme caution.,µL»Ý½Õ¾ã¾¯¶q,¨S¦³¸ê®Æ,Uknown ¨S¦³¸ê®Æ,,Unknown ¨S¦³¸ê®Æ,,IVD;,,,,"ª`®g³t²v:20~40mL/mins¡AMax:20mL/kg/day",1.¥¼µ}ÄÀ¥ç¥i¨Ï¥Î 2.Max:20mL/kg/day
EGENO,Gentamicin,Gentamicin ²´ÃÄ»I 0.3%¡A 5gm,TOPH,,¾AÀ³¯g: Treatment of ocular infections due to susceptible organisms. °Æ§@¥Î: Rarely¡A transient stinging. ¸T§Ò: Hypersensitivity.,,«Ç·Å,Apply bid-tid to the affected eye(s).,µL»Ý½Õ¾ã¾¯¶q,,µL»Ý½Õ¾ã¾¯¶q,°£«DªvÀø¤W»Ý­n,,,Compatible ­÷¨Å®É¥i¨Ï¥Î,,,,,,,
EGEN,Gentamicin,Gentamycin OPH sol 0.3%¡A 3mL,TOPH,,¾AÀ³¯g: Bacterial inflammations of conjunctiva¡A cornea¡A lid margin & lacrimal sac; styes¡A corneal ulcers¡A corneal infections. °Æ§@¥Î: Irritation¡A pain¡A stinging & burning.,,«Ç·Å,1-2 drop 3-8 times daily.,,,,°£«DªvÀø¤W»Ý­n,,,Compatible ­÷¨Å®É¥i¨Ï¥Î,,,,,,,
IGW250A,Glucose,°tÃÄ¥Î Glucose inj 5% 250mL,MSIV,,,,,°tÃÄ¥Î¤lÂå¥O,µL»Ý½Õ¾ã¾¯¶q,,µL»Ý½Õ¾ã¾¯¶q,¨S¦³¸ê®Æ,Uknown ¨S¦³¸ê®Æ,,Unknown ¨S¦³¸ê®Æ,,IVD;,,,,,
ETOPC,Fluocinonide,Topsym ³n»I5gm (¦Û¶O),TDER,,¾AÀ³¯g: Eczema; dermatitis; psoriasis; vitiligo; alopecia; pustulosis; prurigo. °Æ§@¥Î: Burning¡A itching¡A irritation¡A dryness; perioral dermatitis; allergic contact dermatitis; skin atrophy. ¸T§Ò: Vaccinia & varicella.,,«Ç·Å,Apply once-tid.,,,,¨S¦³¸ê®Æ,,,,,,,,,,
OAVA2,Rosiglitazone + Metformin,AvandaMet 2mg/500mg,META,,¾AÀ³¯g: Type 2 DM. °Æ§@¥Î:Upper resp tract infection¡A headache¡A back pain¡A hyperglycemia¡A fatigue¡A sinusitis¡A diarrhea¡A viral infection¡A arthralgia. Anaemia. Rosiglitazone: Hypoglycaemia¡A oedema¡A anaemia¡A hypercholesterolaemia¡A dose-related wt gain¡A CHF¡A pulmonary oedema¡A pleural effusions. Metformin: Nausea¡A vomiting¡A diarrhoea¡A abdominal pain¡A loss of appetite¡A metallic taste. Cardiovascular: Edema (6% to 25% ) Endocrine metabolic: Hypoglycemia (12% ) Gastrointestinal: Diarrhea (12.7% to 14%) Hematologic: Anemia (4% to 7.1% ) ¸T§Ò: ketoacidosis or pre-coma¡A renal failure. ½Ã¥Í¸p¤½§i(99.10.14) 1.¤£«ØÄ³¸Ó¦¨¤À(rosiglitazone)¨Ï¥Î©ó¯Ê¦å©Ê¤ßÅ¦¯f¤§¯f¤H¡C 2.¤£«ØÄ³¸Ó¦¨¤À¨Ï¥Î©ó¤ßÅ¦°IºÜ¤§¯f¤H¡C 3.¸T¥Î©ó¤ß°IºÜ²Ä3¯Å©Î²Ä4¯Å(NYHA Class III or IV cardiac status )¯f¤H,,«Ç·Å,starting does : 2/ 500 mg daily. max daily dose: 8 / 2000 mg.,,,,°£«DªvÀø¤W»Ý­n,,,,,,,,,,
ETRI,Fluocinolone + Hydroquinone + Tretinoin,TRI-LUMA cream 15gm,TDER,,¾AÀ³¯g: Short-term treatment of moderate to severe melasma of the face¡A in the presence of measures for sun avoidance¡A including the use of sunscreens. °Æ§@¥Î: Erythema¡A desquamation¡A burning¡A dryness & pruritus at the site of application. ¸T§Ò: Individuals with a history of hypersensitivity¡A allergy¡A or intolerance to Tri-Luma or any of its components.,,«Ç·Å,Apply a thin film of cream to hyperpigmented areas of melasma including about 0.5 inch of normal appearing skin surrounding each lesion. Rub lightly & uniformly into the skin. Apply once daily at night 30 minutes before bedtime.,,,,¨S¦³¸ê®Æ,,,,,,,,,,
OSES,Timepidium,Sesden 30mg,ALIM,,¾AÀ³¯g: Pain associated with smooth muscle spasm eg. gastritis¡A peptic ulcer¡A enteritis¡A gallbladder & bile-duct diseases; lithangiuria¡A pancreatitis. °Æ§@¥Î: Rarely shock; photophobia¡A visual disturbances; headache¡A dizziness¡A lightheadedness¡A drowsiness; dry mouth¡A nausea¡A vomiting¡A constipation¡A anorexia¡A abdominal distention; palpitation¡A tachycardia; hypersensitivity reactions; difficulty in micturition¡A dysuria; flushing & lassitude. ¸T§Ò: Glaucoma; dysuria; severe cardiac disease; paralytic ileus.,,«Ç·Å,30 mg tid.,,,,¨S¦³¸ê®Æ,,,,,,,,,,
IGS5A,Dextrose + Sodium Chloride,°tÃÄ¥Î 5%Dextrose in 0.9% NaCl 500mL,MSIV,,,,,,,,,,,,,,IVD;,,,,,
