____,____,____,____,___,__,___,__,____,_____(Y/N),_______,_____(Y/N),________,______,______,_______,_______,____,_____,_____,IVP____,IVD____,____
IAPCN,Penicillin G,Penicilina Atral inj 1 MIU/vial,QANB,,Bacterial endocarditis Adult: 1.2 g every 4 hr by slow inj or infusion_ usually used with an aminoglycoside. Renal impairment: Dose adjustments may be necessary. Intrapartum prophylaxis against group B Streptoccocal infection in neonates Adult: Initially_ 3 g via IV inj_ followed by 1.5 g every 4 hr until delivery. Child: 150 mg/kg daily in 4 divided doses. Renal impairment: Dose adjustments may be necessary. Meningococcal meningitis Adult: 2.4 g every 4 hr by slow inj or infusion. Up to 18 g/day in meningococcal meningitis. Administer high doses (>1.2 g) at a rate not >300 mg/minute to prevent CNS irritation and electrolyte imbalance. Child: 1 mth-12 yr: 180-300 mg/kg daily in 4-6 divided doses. Infant 1-4 wk: 150 mg/kg daily in 3 divided doses. Premature infant and neonate: 100 mg/kg daily in 2 divided doses. Renal impairment: Dose adjustments may be necessary. Pneumococcal meningitis Adult: 2.4 g every 4 hr by slow inj or infusion. Up to 18 g/day in meningococcal meningitis. Administer high doses (>1.2 g) at a rate not >300 mg/minute to prevent CNS irritation and electrolyte imbalance. Child: 1 mth-12 yr: 180-300 mg/kg daily in 4-6 divided doses. Infant 1-4 wk: 150 mg/kg daily in 3 divided doses. Premature infant and neonate: 100 mg/kg daily in 2 divided doses. Renal impairment: Dose adjustments may be necessary. Susceptible infections Adult: 0.6-4.8 g/day in 2-4 divided doses via IM_ slow IV inj or infusion_ higher doses may be needed in more serious infections. IV doses >1.2 g should be given at a rate of not >300 mg/minute. Child: 1 mth-12 yr: 100 mg/kg daily in 4 divided doses. Infant 1-4 wk: 75 mg/kg daily in 3 divided doses. Premature infant and neonate up to 7 days old: 50 mg/kg daily in 2 divided doses. Renal impairment: Dose adjustments may be necessary.,,__,Bacterial endocarditis Adult: 1.2 g every 4 hr by slow inj or infusion_ usually used with an aminoglycoside. Renal impairment: Dose adjustments may be necessary. Intrapartum prophylaxis against group B Streptoccocal infection in neonates Adult: Initially_ 3 g via IV inj_ followed by 1.5 g every 4 hr until delivery. Child: 150 mg/kg daily in 4 divided doses. Renal impairment: Dose adjustments may be necessary. Meningococcal meningitis Adult: 2.4 g every 4 hr by slow inj or infusion. Up to 18 g/day in meningococcal meningitis. Administer high doses (>1.2 g) at a rate not >300 mg/minute to prevent CNS irritation and electrolyte imbalance. Child: 1 mth-12 yr: 180-300 mg/kg daily in 4-6 divided doses. Infant 1-4 wk: 150 mg/kg daily in 3 divided doses. Premature infant and neonate: 100 mg/kg daily in 2 divided doses. Renal impairment: Dose adjustments may be necessary. Pneumococcal meningitis Adult: 2.4 g every 4 hr by slow inj or infusion. Up to 18 g/day in meningococcal meningitis. Administer high doses (>1.2 g) at a rate not >300 mg/minute to prevent CNS irritation and electrolyte imbalance. Child: 1 mth-12 yr: 180-300 mg/kg daily in 4-6 divided doses. Infant 1-4 wk: 150 mg/kg daily in 3 divided doses. Premature infant and neonate: 100 mg/kg daily in 2 divided doses. Renal impairment: Dose adjustments may be necessary. Susceptible infections Adult: 0.6-4.8 g/day in 2-4 divided doses via IM_ slow IV inj or infusion_ higher doses may be needed in more serious infections. IV doses >1.2 g should be given at a rate of not >300 mg/minute. Child: 1 mth-12 yr: 100 mg/kg daily in 4 divided doses. Infant 1-4 wk: 75 mg/kg daily in 3 divided doses. Premature infant and neonate up to 7 days old: 50 mg/kg daily in 2 divided doses. Renal impairment: Dose adjustments may be necessary.,,,,____,,,Compatible ______,,IM;IV;,,,,,1. __________PCN____ 2. _____ (____1____) __________________ 3. Penicillin G sodium ____1.68 mEq/100___ (____5.04 mEq _)_ 4. (IV infusion) _________ 50_000-100_000 unit/mL_____15 ~ 30___ 5. _________________154000 units/mL in D/W_76000 units/mL in N/S_85000 units/mL in D5W_
OBOW,Picosulfate + MgO + Citric acid,Bowklean powder 16.2gm_ 2pk/box,ALIM,Bowel cleansing prior to colonoscopy,Hypersensitivity to sodium picosulfate_ magnesium oxide_ anhydrous citric acid_ or any component of the formulation; GI obstruction or ileus; bowel perforation; gastric retention; toxic colitis; toxic megacolon; severe renal impairment (CrCl <30 mL/minute).,>10%: Endocrine & metabolic: Hypermagnesemia (9% to 12%) Genitourinary: Decreased estimated GFR (eGFR; ?48 hours after colonoscopy: 10% to 29%) 1% to 10%: Central nervous system: Headache (2% to 3%) Endocrine & metabolic: Hypokalemia (5% to 7%)_ hypochloremia (1% to 4%)_ hyponatremia (1% to 4%) Gastrointestinal: Nausea (3%)_ vomiting (1%) Renal: Increased serum creatinine (5%) <1% (Limited to important or life-threatening): Hypersensitivity reaction_ ischemic colitis_ seizure_ ulcer (aphthoid ileal),25___,First sachet in 150 mL water_ in the evening before the colonoscopy (5 PM-9 PM)_ (After taking the medicine_ replenish 250mL clear liquid drink at least 5 times before going to bed_ and drink it within 5 hours). Followed by the second sachet in 150 mL water (5 oz) ~5 hours before the colonoscopy. (After taking the second dose _ replenish 250mL clear liquid drink at least 3 times _ and drink it before the colonoscopy 2 hours.),______,,_____,____,Uknown ____,[__] __________________________________________________________ Bowklean Powder_ ____________________ Bowklean Powder,Unknown ____,[__] _____________________________________________Bowklean Powder _______,PO;,,,,,[__/____]__________150______________5____________________
OREOS,Risedronic acid,Reosteo 150mg,META,Treatment of osteoporosis in postmenopausal women to increase bone mass & reduce incidence of fractures_ including those of the hip & spine (vertebral compression fractures). Treatment of osteoporosis in men to increase bone mass.,Esophageal abnormalities (eg_ stricture or achalasia) that delay esophageal emptying. Hypersensitivity to risedronate or any component of the product. Inability to sit or stand upright for at least 30 minutes. Hypocalcemia.,Common Dermatologic: Rash (osteoporosis_ 7.9%; Paget disease_ 11.5% ) Gastrointestinal: Abdominal pain (osteoporosis_ 2.9% to 12.2% ; Paget disease_ 11.5% )_ Constipation (osteoporosis_ 2.9% to 12.9% ; osteoporosis prevention_ 6.5%; Paget disease_ 6.6% )_ Diarrhea (osteoporosis_ 4.9% to 10.8% ; Paget disease_ 19.7% )_ Indigestion (3.9% to 10.8% )_ Nausea (osteoporosis_ 3.6% to 3.9% ; osteoporosis prevention_ 7.3% to 13.2% ; Paget disease_ 9.8% ) Musculoskeletal: Backache (adult_ 5.9% to 28% ; pediatric_ 17% ) Renal: Urinary tract infectious disease (11.1% ) Other: Influenza-like illness (up to 9.8% ) Serious Cardiovascular: Cardiac dysrhythmia (men_ 2% )_ Peripheral edema (8.2% ) Dermatologic: Hypersensitivity reaction Musculoskeletal: Arthralgia (osteoporosis_ 6.8% to 24.7% ; osteoporosis prevention_ 13.9%; Paget disease_ 32.8% )_ Bone pain (adult_ 5.3%; acute phase reaction_ 1.1% to 7.6%; pediatric_ 10% )_ Myalgia (1% to 6.7% ; osteoporosis prevention_ 5.1% )_ Osteonecrosis of jaw Ophthalmic: Iritis_ Uveitis Renal: Nephrolithiasis (3% ) Reproductive: Benign prostatic hyperplasia (5% ),25___,150 mg TAB ORALLY taken once monthly or 35 mg TAB orally taken once weekly; take with 6 to 8 ounces of water at least 30 minutes prior to the first food or drink of the day.,______,,_____,____,Uknown ____,[__]______,Unknown ____,[__]______,AC;,,,,,[__/____]___________________________
EFPX,Plectranthus amboinicus + Centella asiatica,Fespixon cream 1.25%_ 15 gm,TDER,Diabetic foot ulcer.,Hypersensitive to the ingredients of the cream_ including Plectranthus amboinicus_ Centella asiatica_ or excipients.,Cellulitis(6.6%)_ Upper respiratory tract infection(4.9%)_ Skin ulcer(11.5%)_ Hypertension(2.5%)_ Peripheral swelling(0.8%)_ Staphylococcal infection(0.8%)_ Would complication(0.8%)_ weight increased(0.8%)_ Hyperuricaemia(1.6%)_ Dermatitis contact(0.8%)_ Eczema(1.6%)_ Erythema(0.8%)_ Rash(0.8%).,25___,Apply to the lesion twice a day by fully covering the ulcer. Cream 1.25% contains extracts of Plectranthus amboinicus(PA-F4)_ 0.25% + Centella asiatica(S1)_ 1%.,______,,______,____,Uknown ____,[__]______________________ ________________________________________________________ _________________,Unknown ____,[__]____PA-F4_S1____________ _________________________________,EXT;,,,,,
OFLAT,Otilonium,Flatin 40mg,ALIM,Relief of abdominal pain due to irritable bowel syndrome.,Glaucoma. Hypersensitivity to Otilonium or any component of product.,Upper abdominal pain_ dizziness_ headache_ dry mouth_ nausea_ tiredness_ itching_ erythema_ urticaria_ angioedema,25___,Oral_ 40 mg BID-TID. Adult: Up to 120 mg daily.,______,,______,____,Uknown ____,[__]_________________________________________________,Unknown ____,[__]_________________________________________________,AC;AC15;PC;PO;WM;,,,,,
OMEYD,Methylphenidate,Methydur 22mg sustained release,CNEU,,,,,,,,,,,,,,AC;AC15;PC;PO;WM;,,,,,
OCAR1,Propranolol,Pronolol 10mg,CAVS,Angina_ arrhythmias (ventricular and supraventricular)_ primary and renal hypertension_ migraine_ essential tremor_ anxiety-induced tachycardia_ adjunct in hyperthyroidism_ pheochromocytoma.,History of bronchial asthma or bronchospasm_ Cardiogenic shock_ Decompensated heart failure_ Second or third degree heart block (if no pacemaker is present)_ Sick sinus syndrome (if no pacemaker is present)_ Sinus bradycardia (if no pacemaker is present) [Micromdex] Blood pressure <50/30 mmHg_ Hypersensitivity to propranolol hydrochloride or any component of the product_ Pheochromocytoma_ Premature infants with corrected age <5 weeks_ Infants weighing <2 kg,Common: Diarrhea_ Vomiting_ Dizziness (Hypertension_ 4-7% )_ Sleep disorder_ Fatigue (5-7% ) Serious: Bradyarrhythmia_ Cardiogenic shock_ Congestive heart failure_ Heart block_ Heart failure_ Hypotension_ Prolonged PR interval_ Shortened QT interval_ Erythroderma_ Stevens-Johnson syndrome_ Toxic epidermal necrolysis_ Hypoglycemia_ Anaphylaxis_ Cerebrovascular accident_ Bronchospasm_ Withdrawal symptom,________25_______,[Adult dosage] Angina pectoris: Initially 10-20 mg TID-QID_ may titrate every 3-7 days gradually to 320 mg/day. Arrhythmia: 10-30mg TID-QID. Migraine prophylaxis: Initially 20mg QID; then up to 160-240 mg/day in divided doses. Hypertension: 120-240 mg/day_ may increase to 640mg based on response and tolerability. Thyrotoxicosis: 10-40mg TID-QID. Pheochromocytoma: 20 mg before surgery_ TID for 3 days_ should be used in conjunction with an alpha-blocker. (Do not start using propranolol before the alpha-blocker has taken effect.) [Pediatric dosage] not yet established. Supraventricular tachycardia: 0.5 to 1 mg/kg/day in 3-4 divided doses.,_____,________________,_____,_______,Human data suggest risk in 2nd and 3 rd trimesters,[__] ____________________________________________________________________________________________________________________,No (Limited) Human Data - Potential Toxicity _(__)__ - ____,[__] __________________________________,AC;AC15;PC;PO;WM;,,,,,
ISLQ,Insulin glargine + Lixisenatide,Soliqua inj 100 Unit/50mcg/mL 3mL Pen,META,Use as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus who have inadequate control with (1) metformin in combination with another oral antidiabetic agent or metformin in combination with basal insulin (daily dose <60 units)_ (2) metformin in combination with a glucagon-like peptide-1 (GLP-1) receptor agonist or metformin in combination with another oral antidiabetic agent and a GLP-1 receptor agonist_ or (3) basal insulin (daily dose less than 60 units) or lixisenatide.,History of serious hypersensitivity to insulin glargine_ lixisenatide_ or any component of the formulation; during episodes of hypoglycemia.,Common: Diarrhea (7%)_ Nausea (10%)_ Headache (5.4%)_ Nasopharyngitis (7%)_ Upper respiratory infection (5.5%) Serious: Hypoglycemia (17.8%)_ Hypokalemia_ Pancreatitis_ Cholecystitis_ Cholelithiasis_ Disorder of gallbladder_ Anaphylaxis_ Hypersensitivity reaction_ Acute injury of kidney_ Angioedema,______(2-8°C)____________<25°C___28____<30°C___14__,Administer once daily_ injected within 1 hour before the same meal each day. Discontinue basal insulin or glucagon-like peptide-1 (GLP-1) receptor agonist therapy prior to initiation. Initial dose: (1) If no previous use of insulin: 10 units (10 units/5 mcg). (2) If using <20 units of **insulin glargine (100 units/ml)**: 10 units (10 units/5 mcg). (3) If using 20-30 units of **insulin glargine (100 units/ml)**: 20 units (20 units/10 mcg). Max: 40 units/day (insulin glargine 40 units + lixisenatide 20 mcg). **Note**: If a different basal insulin is used: - If the basal insulin is given twice daily or if daily insulin glargine (300 units/mL) is used_ the previous total daily dose should be reduced by 20% as the starting dose for Soliqua. - For any other basal insulin_ the calculation method is the same as for insulin glargine (100 units/mL).,_____,[__] ______________________(gluconeogenesis)__________________________ Soliqua _________________,_____,____,No (limited) human data – animal data suggest risk,Insulin glargine: Compatible Lixisenatide: No Human Data—Animal Data Suggest Risk [__] __ Soliqua_insulin glargine _ lixisenatide ___________________________________ ________ insulin glargine _____(__1_000_____)___insulin glargine ____________ insulin glargine ____________/______ ________ insulin glargine ________________ lixisenatide ________________lixisenatide _______ Soliqua __________________________ Soliqua_,No (Limited) Human Data - Probably Compatible _(__)__ - ___,Insulin glargine: Compatible Lixisenatide: No Human Data—Probably Compatible [__] Insulin glargine _ lixisenatide _________________ Soliqua__________,SC;,,,,,1. _______(2-8°C)______________/_____<25°C___28____<30°C___14__ 2. Soliqua________________ 3. _____________________ 4. _________Soliqua____________
IFUL,Pegfilgrastim,Fulphila inj 6mg/0.6mL,HEMT,To decrease the incidence of infection_ as manifested by febrile neutropenia_ in patients with non-myeloid malignancies receiving myelosuppressive anti-cancer drugs associated with a clinically significant incidence of febrile neutropenia.,Individuals allergic to latex should not use this product. Fulphila is contraindicated in patients with a history of severe hypersensitivity reactions to pegfilgrastim or filgrastim_ including anaphylaxis. Acute respiratory distress syndrome (ARDS).,Common: Bone pain (31%)_ Pain in limb (9%) Serious: Aortitis_ Capillary leak syndrome_ Acute myeloid leukemia_ Leukocytosis (<1% )_ Myelodysplastic syndrome_ Rupture of spleen_ Sickle cell anemia with crisis_ Thrombocytopenia_ Anaphylaxis_ Glomerulonephritis_ Acute respiratory distress syndrome,_______2-8_,Patients with cancer receiving myelosuppressive chemotherapy: 6 mg subQ once per chemotherapy cycle. Do not administer between 14 days before and 24 hours after administration of cytotoxic chemotherapy.,______,[__]_______,______,____,No (limited) human data – animal data suggest low risk,[__] __________ pegfilgrastim __________________________________________________________ filgrastim ____________________ filgrastim __________________________ _______________ pegfilgrastim ____________10____________________________________________________4______________ _______________________________________________________,No (Limited) Human Data - Probably Compatible _(__)__ - ___,[__] ____ pegfilgrastim ___________________________ __ filgrastim _____________________ filgrastim ___ __________________ pegfilgrastim ______pegfilgrastim ____________________________,SC;,,,,,1. _________(___30_)__48____________ 2. _________________________________ 3. _______________________(_____)________________
IKET2BAD,Ketamine,Ketamine-hameln ____(__) inj 500mg/10mL,ZANE,,,,,,,,,,,,,,IM;IV;IVPUSH;,,,,,
OMTD22,Methylphenidate,Methydur 22mg sustained release,CNEU,Attention deficit hyperactivity disorder.,Concomitant use of MAOIs_ or use within 14 days of MAOI discontinuation. Hypersensitivity to methylphenidate or other components of the product. Anxiety and tension_ mental agitation_ siblings who have had convulsions_ family members or individuals who have been diagnosed with Tourette’s syndrome_ glaucoma.,Common: Tachycardia (4.8-7%)_ Diaphoresis (Adult_ 5.1%)_ Weight decreased (2.4-12%)_ Abdominal pain (Pediatric 4-15%)_ Decrease in appetite (2-35%)_ Loss of appetite (Adult 1.7% ; pediatric 3.1-9% or greater )_ Nausea (2.4-12.8%)_ Vomiting (1.7-9%)_ Xerostomia (3-14%)_ Dizziness (Adult 6.7%; pediatric 1.9-3%)_ Headache (Adult 22.2% ; pediatric 2.4-19%)_ Insomnia (2.8-41%)_ Anxiety (Adult 8.2%)_ Depression (Adult 1.7-3.9%)_ Irritability (5.8-10%). Serious: Myocardial infarction_ Raynaud's phenomenon_ Sudden cardiac death_ Decreased body growth_ Gastrointestinal obstruction_ With preexisting severe gastrointestinal narrowing and use of controlled-release formulations_ Abnormal liver function_ Cerebral artery occlusion_ Cerebral hemorrhage_ Cerebrovascular accident_ Lowered convulsive threshold_ Seizure_ Blurred vision (>1.7-2%)_ Aggressive behavior (1.7-2.4%)_ Mania_ Psychotic disorder_ Priapism_ Drug abuse_ Substance dependence.,25______,Take once daily_ within 20 minutes after breakfast_ with water. Do not chew_ split_ or crush the capsules. For patients not previously taking Methylphenidate or other stimulants: 22mg/day. If the desired effect is not achieved: increase dose by 11mg every 7 days (max 44mg/day).,______,,______,_______,Human data suggest risk in 3 rd trimester,,No (Limited) Human Data - Potential Toxicity _(__)__ - ____,,AC;AC15;PC;PO;WM;,,,,,[__/____] _____________________
RIHUM,Adalimumab/Placebo,_Humira-1311.30 (40 mg Adalimumab/Placebo),HIMM,,,,,,,,,,,,,,SC;,,,,,
OCELL,Mycophenolate mofetil,Cellcept 250mg,HIMM,Prophylaxis of acute organ rejection in patients receiving allogeneic renal_ cardiac & hepatic transplants_ concomitantly w/ cyclosporin & corticosteroids. Induction & maintenance treatment of lupus nephritis_ concomitantly w/ corticosteroids.,CellCept is contraindicated in patients known to be allergic to mycophenolate mofetil or mycophenolic acid (MPA)_ as allergic reactions to CellCept have been reported. CellCept intravenous injection is also contraindicated in patients known to be allergic to polysorbate 80. Unless no appropriate alternative medications are available_ drugs containing mycophenolate should not be used in women of childbearing potential who are not using highly effective contraception_ pregnant women_ or breastfeeding women.,Diarrhoea_ dyspepsia_ vomiting_ elevated liver function test_ acne_ leucopenia_ sepsis_ certain infections; CV_ metabolic_ CNS & musculoskeletal events.,25___,Renal transplant 1 g BID. Cardiac & hepatic transplant 1.5 g BID. Lupus nephritis induction dose 0.75-1.5 g BID_ maintenance dose 0.25-1 g BID.,_____,,_____,____,Human (and animal) data suggest risk,,Contraindicated _______,____:____,AC;AC15;PC;PO;WM;,,,,,[__/____]________ ________________________________________
IFIB2,Sodium Tetradecyl Sulphate,Fibro-Vein inj 3%_ 2mL (____),ZOTH,For the treatment of uncomplicated primary varicose veins_ recurrent or residual varicose veins following surgery_ reticular veins_ venules_ and spider veins of the lower extremities that show simple dilation.,Hypersensitivity to sodium tetradecyl sulfate or to any component of the preparation and allergic conditions. Patients were unable to walk due to any cause_ bedridden patients. Patients with a high risk of thrombosis e.g. patients with a congenital predisposition to blood clots or with multiple risk factors such as hormonal contraception or hormone replacement therapy_ significant obesity_ smoking_ or extended periods of immobility. Recent acute superficial thrombophlebitis_ deep vein thrombosis_ or pulmonary embolism. Recent surgery. Varicosities caused by pelvic or abdominal tumors unless the tumor has been removed. Uncontrolled systemic disease such as diabetes mellitus_ toxic hyperthyroidism_ tuberculosis_ asthma_ neoplasm_ sepsis_ blood dyscrasias_ and acute respiratory or skin diseases. Evolutive cancer. Significant valvular incompetence of the deep veins. Occlusive arterial disease. Huge superficial veins with wide open communications to deeper veins. Phlebitis migrans. Acute cellulitis. Acute infections. In addition when the sclerosant has been converted to foam: Known symptomatic patent foramen ovale (PFO).,Common Dermatologic: Injection site pain_ Injection site ulcer_ Injection site urticaria Gastrointestinal: Nausea_ Vomiting Neurologic: Headache Serious Cardiovascular: Myocardial infarction Dermatologic: Skin necrosis_ Tissue necrosis Hematologic: Arterial embolism_ Deep venous thrombosis Immunologic: Allergic reaction_ Anaphylaxis Neurologic: Cerebrovascular accident Respiratory: Pulmonary embolism,25_________,[Micromedex2021/07/29] Venous varices: Because hypersensitivities have occurred_ a test dose of 0.5 mL followed by several hours of observation is recommended before larger doses are administered. 0.5 to 2 mL (preferably 1 mL Maximum) IV into the vein intended for sclerosis; the 1% solution is used most often_ with the 3% solution being reserved for larger varicosities; Maximum single treatment 10 mL,______,,______,____,Uknown ____,[__]Safety for use in pregnancy has not been established. There are no or limited amount of data from the use of sodium tetradecyl sulfate in pregnant women. Animal studies are insufficient with respect to reproductive toxicity. Treatment should be postponed until after childbirth. Fibrovein should be used only when clearly needed for symptomatic relief and when the potential benefits outweigh the potential hazards to the fetus.,Unknown ____,[__] It is not known whether sodium tetradecyl sulfate is excreted in human milk. Caution should be exercised when used in nursing mothers. Fertility It is not known whether sodium tetradecyl sulfate affects fertility.,,,,,,Fibrovein is a single-use parenteral product. Once the container is opened_ use immediately and discard any unused portion.
OCAPA,Nefopam,Capain 30mg,CNEU,Relief of pain,Patients with history of syncope. patients with myocardial infarction,Nausea_ dizziness_ drowsiness_ dry mouth_ insomnia_ paraesthesia_ Night sweats.,25_____,30-60 mg 3 times daily.,______,,______,____,Uknown ____,[__]____________________________________.,Unknown ____,[__]_______________ _________________________.,AC;AC15;PC;PO;WM;,,,,,
LMOR,Morphine,Morphine Sulfate 2mg/mL_ 60mL,CNEU,,___: Relief of moderate to severe pain. ___: Nausea_ vomiting_ constipation_ drowsiness_ palpitations_ headache_ disorientation_ vertigo_ mood changes_ decreased libido_ ureteric spasm_ urinary retention_ rash_ sweating_ facial flushing_ miosis. Cardiovascular: Peripheral edema (5% to 10% ) Dermatologic: Pruritus (up to 80% )_ Rash (5% to 10% )_ Sweating (5% to 10% ) Gastrointestinal: Abdominal pain (5% to 10% )_ Constipation (> 10% )_ Diarrhea (5% to 10% )_ Loss of appetite (5% to 10% )_ Nausea and vomiting (7% to 70% )_ Xerostomia (5% to 10% ) Hepatic: Liver function tests abnormal (< 5% ) Musculoskeletal: Backache (5% to 10% ) Neurologic: Asthenia (5% to 10% )_ Dizziness (6% )_ Headache (>10% )_ Insomnia (5% to 10% )_ Lightheadedness_ Paresthesia (5% to 10% )_ Somnolence (> 10% ) Ophthalmic: Amblyopia (< 5% )_ Miosis Psychiatric: Anxiety (6% )_ Depression (5% to 10% ) Renal: Urinary retention (oral: < 5% ; epidural/intrathecal: 15% to 70% ) Other: Fever (5% to 10% )_ Hiccoughs (< 5% ) __: Respiratory depression_ head injury_ obstructive airways disease_ paralytic ileus_ GI obstruction_ delayed gastric emptying_ acute hepatic disease. Use within 2 weeks of MAOI therapy. Not recommended during pregnancy & in children < 3 years.,,__,10 to 20 mg every 4 hours as needed.,,,,_______,,,No (Limited) Human Data - Probably Compatible _(__)__ - ___,,,,,,,
ITDP4,Tdap-IPV,Boostrix-Polio (________),HIMM,,___: For active immunisation against diphtheria_ tetanus_ pertussis and poliomyelitis in adults_ adolescents and children aged 4 years and older as a booster following primary immunisation. Children 4-6 years of age should have already received four doses of DTPa and IPV or OPV. ___: Adolescents and Adults- Injection site pain_ erythema and swelling_ tiredness_ headache_ bodyache_ chills_ nausea_ fever_ arthralgia or joint swelling (?1/10) Diarrhoea_ vomiting (<1/10 and ?1/100) Children 5 to 6 years old - Injection site pain and swelling; fatigue (?1/10) Injection site erythema and pruritus; fever ?38°C (<1/10 and ?1/100) Diarrhoea_ vomiting (<1/100 and ?1/1_000) __: Hypersensitivity. Acute illness eg febrile illness_ encephalopathy of unknown origin w/in 7 days of previous pertussis vaccination. Pregnancy & lactation.,,2-8_,A single 0.5 mL dose_ may be administered from the age of four years onwards.,,,,____,,,No (Limited) Human Data – Potential Toxicity(Mother) _(__)__ – ____(__),,,,,,,
IVAXS,Purified Split Inactivated Influenza Virus,4_____ (VaxigripTetra)0.5mL/dose,HIMM,Active immunisation against influenza_ Influenza Vaccine for children aged > or = 6 months and adult.,Do not administer VaxigripTetra to individuals who have experienced severe allergic reactions to any component of this vaccine_ including excipients listed_ or to trace residues such as neomycin_ formaldehyde_ and octoxynol-9. This also applies to individuals who have had severe allergic reactions (e.g._ systemic allergic reactions) after receiving this vaccine.,Inj site soreness_ fever_ malaise_ myalgia_ headache_ GI disturbances_ lymphadenitis_ oculorespiratory syndrome.,2-8°C.____,IM_ 0.5 mL_ > or = 6 months (< 9 years who have not been vaccinated previously_ the 2nd dose can be given after 4 weeks.),______,,______,____,Compatible,[__]__________________________________________ VaxigripTetra____________ _________________________________________________________________VaxigripTetra__________Vaxigrip_____________________________ _________________VaxigripTetra_Vaxigrip (VaxigripTetra____230____231______Vaxigrip____116____119_____)_________________ _______________________________Vaxigrip___5000________5000_________6__________________________________ ________________________Vaxigrip________________________________________________________ _____(Mali)________Vaxigrip_______________________________/________________________ ______________VaxigripTetra________/________________________,Compatible ______,[__]VaxigripTetra_________,IM;SC;,,,,,1. __________________(ovalbumin)____________(neomycin)___(formaldehyde)_____9 (octoxynol-9). 2. __________0.5_______________*_________ · A/Victoria/2570/2019 (H1N1)pdm09 - like strain (A/Victoria/2570/2019_ IVR-215)…15 micrograms HA** · A/Darwin/9/2021 (H3N2) - like strain (A/Darwin/9/2021_ IVR-228)…15 micrograms HA** · B/Austria/1359417/2021 - like strain (B/Michigan/01/2021_ wild type_)…15 micrograms HA** · B/Phuket/3073/2013 - like strain (B/Phuket/3073/2013_ wild type)…15 micrograms HA**
OKIS0,Ribociclib,Kisqali 200mg 63#/_ (sample),RACA,KISQALI is indicated for: - In combination with aromatase inhibitors_ as initial endocrine treatment for hormone receptor (HR)-positive_ HER2-negative_ locally advanced or metastatic breast cancer in men or premenopausal_ perimenopausal_ or postmenopausal women; or - In combination with fulvestrant_ as initial endocrine treatment or after disease progression during endocrine therapy for hormone receptor (HR)-positive_ HER2-negative_ locally advanced or metastatic breast cancer in men or postmenopausal women.,Known hypersensitivity to Ribociclib succinate.,>10%: Cardiovascular: Peripheral edema (12%) Central nervous system: Fatigue (37%)_ headache (22%)_ insomnia (12%) Dermatologic: Alopecia (33%)_ skin rash (17%)_ pruritus (14%) Endocrine & metabolic: Decreased serum potassium (11%) Gastrointestinal: Nausea (52%)_ diarrhea (35%)_ vomiting (29%)_ constipation (25%)_ decreased appetite (19%)_ stomatitis (12%)_ abdominal pain (11%) Genitourinary: Urinary tract infection (11%) Hematologic & oncologic: Neutropenia (75%; grade 3: 50%; grade 4: 10%)_ leukopenia (33%; grade 3: 20%; grade 4: 1%)_ decreased platelet count (29%; grade 3: 1%)_ anemia (18%; grade 4: <1%)_ abnormal phosphorus levels (decreased; 13%; grade 3: 5%; grade 4: 1%)_ lymphocytopenia (11%; grade 3: 6%; grade 4: 1%) Hepatic: Increased serum ALT (<46%)_ increased serum AST (<44%)_ increased serum bilirubin (18%) Neuromuscular & skeletal: Back pain (20%) Renal: Increased serum creatinine (20%) Respiratory: Dyspnea (12%) Miscellaneous: Fever (13%),30___,600 mg orally once daily for 21 consecutive days followed by 7 days off treatment resulting in a complete cycle of 28 days. KISQALI can be taken with or without food. Coadminister KISQALI with letrozole 2.5 mg taken once daily throughout the 28-day cycle. Patients should take their dose of KISQALI and letrozole at approximately the same time each day_ preferably in themorning.  Recommended Dose Modification for Adverse Reactions: - Starting dose: 600 mg/day (three 200 mg tablets) - 1st dose reduction: 400 mg/day (two 200 mg tablets) - 2nd dose reduction: 200 mg/day (one 200 mg tablet) If further dose reduction below 200 mg/day is required_ discontinue the treatment.,_____,Moderate or severe impairment (Child-Pugh class B or C): Reduce initial dose to 400 mg/day.,_____,____,Uknown ____,,Unknown ____,,PO;,,,,,[__/____]_________________________________
