藥品代碼,藥品學名,藥品名稱,藥品分類,適應症,禁忌,副作用,儲存,用法用量,肝功能異常(Y/N),肝功能異常說明,腎功能異常(Y/N),懷孕用藥危險分級,孕期用藥建議,孕期附帶說明,哺乳期用藥建議,哺乳期附帶說明,給藥途徑,乾粉稀釋液,輸注點滴液,IVP用法建議,IVD用法建議,注意事項
OPZA5,Pyrazinamide,Piramide 500mg,QANB,,適應症: Treatment of pulmonary & extrapulmonary TB. 副作用: Hepatotoxicity， jaundice， hyperuricemia leading to attacks of gout， anorexia， nausea， vomiting， arthralgia， malaise， fever， sideroblastic anemia， difficulty in micturition. Endocrine metabolic: Hyperuricemia Gastrointestinal: Nausea， Vomiting Musculoskeletal: Arthralgia (40%) 禁忌: Liver damage.,,,20-35 mg/kg daily in 3-4 divided doses. (max. 3 g/day).,無需調整劑量,,需調整劑量,除非治療上需要,,,No (Limited) Human Data - Probably Compatible 無(很少)資料 - 可使用,,,,,,,
IOZU,Dexamethasone,Ozurdex (intravitreal implant) 0.7mg,TOPH,Diabetic macular edema (pseudophakic or phakic patients scheduled for cataract surgery) or macular edema (following BRVO or CRVO),Hypersensitivity to dexamethasone or any component of the formulation or product; glaucoma with cup to disc ratios of >0.8; active or suspected ocular or periocular infections including most viral diseases of the cornea and conjunctiva， including active epithelial herpes simplex keratitis (dendritic keratitis)， vaccinia， varicella， mycobacterial infections， and fungal diseases; use in patients with a posterior lens capsule that is torn or ruptured,>10%: Hypertension (implant: 13%)， Cataract (implant: 5% to 68%; incidence increases in patients requiring a second injection)， increased intraocular pressure (implant: 5% to 25%; ?10 mm Hg: 28%， ?30 mm Hg: 15%; injection: 5% to 15%)， conjunctival hemorrhage (implant: 22% to 23%)， corneal edema (injection: 5% to 15%; implant: ?1%)， iritis (5% to 15%) 1% to 10%: Aneurysm (implant: 3%; retinal)， Foreign body sensation of eye (?5%)， headache (implant: 1% to 4%)， Anterior chamber inflammation (implant: 2% to 9%)， decreased visual acuity (1% to 9%)， eye pain (?8%)， conjunctival hyperemia (implant: ?7%)， conjunctivitis (implant: ?6%)， corneal erosion (?5%)， xerophthalmia (?5%)， conjunctival edema (implant: 5%)， ocular hypertension (implant: 5%)， blepharitis (injection: 1% to 5%)， blurred vision (injection: 1% to 5%)， cystoid macular edema (1% to 5%)， ophthalmic inflammation (injection: 1% to 5%)， photophobia (injection: 1% to 5%)， posterior capsule opacification (injection: 1% to 5%)， vitreous detachment (1% to 5%)， vitreous opacity (1% to 5%)， retinal hole without detachment (implant: 2%)， blepharoptosis (implant: ?2%)， keratitis (implant: ?2%)， Bronchitis (implant: 5%) Frequency not defined: Ophthalmic: Glaucoma (injection),25℃以下,Ocular implant: Intravitreal injection: 0.7 mg implant injected in affected eye.,無需調整劑量,DEXAMETHASONE IMPLANT OPHTHALMIC Corticosteroid BREASTFEEDING RECOMMENATION: No Human Data—Probably Compatible,無需調整劑量,除非治療上需要,No (limited) human data – probably compatible,DEXAMETHASONE IMPLANT OPHTHALMIC Corticosteroid PREGNANCY RECOMMENDATION: No Human Data—Probably Compatible,No (Limited) Human Data - Probably Compatible 無(很少)資料 - 可使用,DEXAMETHASONE IMPLANT OPHTHALMIC Corticosteroid BREASTFEEDING RECOMMENATION: No Human Data—Probably Compatible,IVI;,,,,,1.不建議雙眼同時接受注射.
OLEEV,Imatinib,Leevk 100mg,RACA,Adult & pediatrics with newly diagnosed chronic myeloid leukemia (CML)， CML in blast crisis， accelerated phase or chronic phase after failure of interferon-α therapy. Adult with newly diagnosed Philadelphia chromosome +ve acute lymphoblastic leukemia (Ph+ALL) integrated with chemotherapy; with relapsed or refractory Ph+ALL as montherapy; myelodysplastic/myeloproliferative diseases (MDS/MPD) associated with platelet-derived growth factor receptor (PDGFR) gene re-arrangements; systemic mastocytosis (SM) without D816V c-Kit mutation or with c-Kit mutation status unknown; hypereosinophilic syndrome (HES) &/or chronic eosinophilic leukemia (CEL); unresectable &/or metastatic， malignant GI stromal tumors (GIST); unresectable， recurrent &/or dermatofibrosarcoma protuberans (DFSP).,Hypersensitivity to imatinib or any component of the formulation,GI disturbances， anorexia， gastro-esophageal reflux， mouth ulceration， myalgia， muscle cramps， joint swelling， headache， dizziness， taste disturbance， paraesthesia， insomnia， conjunctivitis， increased lacrimation， blurred vision， epistaxis， dyspnea， weight gain， periorbital edema， dermatitis， rash， face & eyelid edema， pruritus， erythema， dry skin， alopecia， night sweats， fluid retention & edema， fatigue; pyrexia， weakness， rigors; neutropenia & febrile neutropenia， thrombocytopenia， anemia. Cardiovascular: Edema (1.1% to 86.1% ) Dermatologic: Night sweats (13% to 17% )， Rash (up to 49.8% ) Endocrine metabolic: Weight gain (up to 32% ) Gastrointestinal: Diarrhea (3% to 58.2% )， Nausea (3% to 73% )， Vomiting (2% to 58% ) Musculoskeletal: Arthralgia (12.3% to 40% )， Cramp (up to 62% )， Musculoskeletal pain (up to 49% )， Myalgia (9% to 32.2% ) Neurologic: Asthenia (15% to 21% )， Dizziness (12% to 16% )， Headache (up to 36% )， Insomnia (10% to 14% ) Respiratory: Cough (14% to 27% )， Nasopharyngitis (10% to 30.5% )， Pain， Pharyngolaryngeal (18.1% )， Pharyngitis (10% to 15% ) Other: Fatigue (25% to 48% )， Fever (16.7% to 41% )， Influenza (0.8% to 13.8% )， Rigor (10% to 12% ),30℃以下，防潮,[Philadelphia chromosome-positive (Ph+) chronic myeloid leukemia (CML)]- Chronic phase: 400 mg once daily， may be increased to 600 mg daily- Accelerated phase or blast crisis: 600 mg once daily， may be increased to 800 mg daily (400 mg twice daily) [Ph+ acute lymphoblastic leukemia (ALL)] 600 mg once daily [Myelodysplastic/myeloproliferative disease (MDS/MPD)] 400 mg once daily [Aggressive systemic mastocytosis (ASM) associated with eosinophilia] Initiate at 100 mg once daily; if assessments demonstrate insufficient response， increase from 100-400 mg/day in the absence of adverse reactions. [ASM without D816V c-Kit mutation or c-Kit mutation status unknown] 400 mg once daily [Hypereosinophilic syndrome (HES) and/or chronic eosinophilic leukemia (CEL)] 400 mg once daily [HES/CEL with FIP1L1-PDGFRα fusion kinase] Initiate at 100 mg once daily; if assessments demonstrate insufficient response， increase from 100-400 mg/day in the absence of adverse reactions. [Gastrointestinal stromal tumors (GIST)]- Adjuvant treatment following complete resection: 400 mg once daily; recommended treatment duration: 3 years- Unresectable and/or metastatic malignant: 400 mg once daily; may be increased up to 800 mg daily (400 mg twice daily)， if tolerated， for disease progression. [Dermatofibrosarcoma protuberans (DFSP)] 400-800 mg/day (400 mg once or twice daily),需調整劑量,,需調整劑量,盡量避免,Human (and animal) data suggest risk,,No (Limited) Human Data - Probably Compatible 無(很少)資料 - 可使用,,PC;PO;WM;,,,,,[磨粉/管灌註記]本藥為癌症用藥，不宜破壞原劑型。若有磨粉需求請使用前自行磨粉，並注意相關風險。
OBEL,Lorcaserin,Belviq 10mg 60's/box,META,,適應症:Weight management: Chronic weight management， as an adjunct to a reduced-calorie diet and increased physical activity， in adults with either an initial body mass index (BMI) of ?30 kg/m2 or an initial BMI of ?27 kg/m2 and at least one weight-related comorbid condition (eg， hypertension， dyslipidemia， type 2 diabetes). 副作用: >10%: Central nervous system: Headache (15% to 17%) Endocrine & metabolic: Hypoglycemia (diabetic patients 29%; symptomatic 7%; severe: 2%) Hematologic: Abnormal lymphocytes (below lower limit of normal after >=1 year， 12%) Neuromuscular & skeletal: Back pain (6% to 12%) Respiratory: Upper respiratory tract infection (14%)， nasopharyngitis (11% to 13%) 禁忌:Hypersensitivity to lorcaserin or any component of the formulation; pregnancy.,,室溫,Dosing: Adult Weight management: Oral: Note: Evaluate response by week 12; if patient has not lost ?5% of baseline body weight， discontinue therapy. Immediate release: 10 mg twice daily (maximum: 20 mg/day).,,,,不可使用,,,No (Limited) Human Data - Potential Toxicity 無(很少)資料 - 避免使用,,,,,,,
IEVU,Tixagevimab + Cilgavimab,Evusheld inj 150mg/150mg/3mL/dose (政府提供),QANB,COVID-19， Pre-exposure in patients not currently infected with SARS-CoV-2 and have not had a known recent exposure and who have moderate to severe immune compromise/may not mount an adequate response to vaccination or are unable to receive a COVID-19 vaccination; Prophylaxis,Severe hypersensitivity reactions， including anaphylaxis， to any component of the product.,Common: Headache (6%)， Cough (3%)， Fatigue (4%) Serious: Cardiac dysrhythmia， Cardiomegaly， Cardiomyopathy， Cardiorespiratory arrest， Coronary arteriosclerosis， Heart failure (0.2%)， Myocardial infarction (0.2-0.4%)， Myocardial ischemia， Sudden cardiac death (0.2%)， Anaphylaxis， Hypersensitivity reaction,避光冷藏(2-8°C),,無需調整劑量,[Micromedex] Infant risk cannot be ruled out.,無需調整劑量,沒有資料,Uknown 沒有資料,[Micromedex] Fetal risk cannot be ruled out.,Unknown 沒有資料,[Micromedex] Infant risk cannot be ruled out.,IM;,,,,,1. 藥物小瓶(vial)穿刺後須於4小時內完成給藥。 2. 在不同的注射部位連續進行兩次肌肉注射，建議注射於臀肌。
OAPR,Irbesartan,Aprovel 300mg,CAVS,,適應症: Diabetic nephropathy: Treatment of diabetic nephropathy with an elevated serum creatinine and proteinuria (>300 mg/day) in patients with type 2 diabetes and hypertension. Hypertension: Treatment of hypertension alone or in combination with other antihypertensives 副作用: >10%: Endocrine & metabolic: Hyperkalemia (diabetic nephropathy: 19%; rarely seen in hypertension) 1% to 10%: Cardiovascular: Orthostatic hypotension (diabetic nephropathy: 5%: hypertension: <1%) Central nervous system: Dizziness (diabetic nephropathy: 10%)， fatigue (4%) Gastrointestinal: Diarrhea (3%)， dyspepsia (2%) Respiratory: Upper respiratory tract infection (9%) <1%， postmarketing， and/or case reports: Abdominal distention， anemia (case report; Simonetti 2007)， angina pectoris， angioedema， arthritis， auditory disturbance， bronchitis， bursitis， cardiac arrhythmia， cardiac failure， cerebrovascular accident， chills， conjunctivitis， constipation， decreased libido， depression， dermatitis， drowsiness， dyspnea， ecchymoses， epistaxis， erythema， facial edema， fever， flatulence， flushing， gastroenteritis， gout， hepatitis， hypertension， hypertensive crisis， hypotension， increased liver enzymes， increased serum transaminases， jaundice， muscle cramps， myalgia， myasthenia， myocardial infarction， nasal congestion， noncardiac chest pain， numbness， otalgia， otic infection， paresthesia， prostatic disease， pruritus， pulmonary congestion， renal failure， renal insufficiency， sexual disorder， sleep disorder， thrombocytopenia， transient ischemic attacks， tremor， upper extremity edema， urination disorder， urticaria， visual disturbance， wheezing 禁忌:Hypersensitivity to irbesartan or any component of the formulation; concomitant use with aliskiren in patients with diabetes mellitus.,,室溫,Initial dose 150 mg once daily; titrate as needed based on patient response up to 300 mg once daily， maximum dose: 300 mg/day. Elderly >75 yr & haemodialysis patients Consider initiating with 75 mg.,無需調整劑量,,無需調整劑量,除非治療上需要,,,No (Limited) Human Data - Probably Compatible 無(很少)資料 - 可使用,,,,,,,
ICOVMDN,SARS-CoV-2 Spike glycoprotein [mRNA],COVID-19 Vaccine Moderna 0.5mL/dose (5mL/vial),HIMM,Moderna COVID-19 Vaccine， for active immunization to prevent COVID-19 in individuals 18 years of age and older.,Do not administer the Moderna COVID-19 Vaccine to individuals with a known history of a severe allergic reaction (e.g.， anaphylaxis) to any component of the Moderna COVID-19 Vaccine.,erythema at injection site， pain at injection site， and swelling at injection site. asthenia， fatigue， fever， headache， myalgia， and nausea.,2~8℃可放一個月,IM， 0.5 mL， > or = 18 years 2 doses administered 28 days apart.,無需調整劑量,尚無數據可用於評估Moderna COVID-19疫苗對母乳餵養嬰兒或乳汁產生/分泌的影響。,無需調整劑量,沒有資料,Uknown 沒有資料,所有妊娠都有發生出生缺陷、流產或其他不良結局的風險。在美�ヰ漱@般人群中，在經過臨床確認的妊娠中，重大先天缺陷和流產的估計背景風險分？為2%至4%和15%至20%。 有關孕婦接種Moderna COVID-19 疫苗的可用數據尚不足以揭示妊娠期間接種疫苗的相關風險。 在一項發育毒性研究中，在雌性大鼠交配前28天和14天、以及妊娠第1天和第13天這四種情�G下，分？經肌肉接種0.2 mL疫苗製劑，其中所含的經核�鉽袡◥榦RNA(100 mcg) 和其它成分與人用單次劑量的Moderna COVID-19 疫苗的含量相同。 在該研究中未報告影響雌性生育能力、胎兒發育或產後發育的與疫苗相關的不良反應。,Unknown 沒有資料,尚無數據可用於評估Moderna COVID-19疫苗對母乳餵養嬰兒或乳汁產生/分泌的影響。,IM;,,,,,1.冷儲條件: -25至-15°C冷凍保存，不得低於-40°C且不得使用乾冰冷運冷儲.若轉置到2~8°C冷藏設備保存必須於30天內使用完畢. 2.多劑量藥瓶含無防腐劑的冷凍混懸液，在接種前必須解凍.在2-8°C的冷藏條件下解凍2小時30分鐘.解凍後在接種前讓藥瓶在室溫下靜置15分鐘. 或者在15-25°C的室溫下解凍1小時. 解凍後，請勿重新冷凍. 解凍後和在每次抽藥之前，輕輕旋動藥瓶.切勿搖晃.切勿稀釋疫苗. 3.在第一劑被抽出後，藥瓶應保存在2-25°C之間.在疫苗藥瓶標籤上記錄首次使用的日期和時間.6 小時後丟棄藥瓶.切勿重新冷凍.
HCVDA17,Sofosbuvir + Velpatasvir + Voxilaprevir (1-6/12週),HCVDAA0017(C肝全口服新藥健保計畫)1-6型(S/V/V)12週,,,,,,,,,,,,,,,,,,,,
EROY,Clindamycin,Royalsense acne gel 1% 20gm,TDER,Acne vulgaris.,Allergic to Clindamycin or Lincomycin. Patients with a history of regional enteritis， ulcerative colitis， or antibiotic-associated colitis.,Skin rash， itching， redness， swelling dryness， scaliness， peeling of skin.,25°C以下,Apply twice daily to affected area.,無需調整劑量,,無需調整劑量,沒有資料,Compatible,[Briggs Drugs in Pregnancy and Lactation] Compatible—Avoid 1st Trimester if Possible [仿單]目前無可信賴之臨床試驗可證明孕婦使用之安全性，故除非必要，孕婦請勿使用本劑。,Compatible 哺乳時可使用,,EXT;SKIN;TOPI;,,,,,
IOGIS,Trastuzumab,Ogivri inj 440 mg (絕對自費),RACA,Adjuvant treatment of HER2 overexpressing node positive or node negative (ER/PR negative or with one high risk feature breast cancer: 1.as part of a treatment regimen consisting of doxorubicin， cyclophosphamide， and either paclitaxel or docetaxel. 2.as part of a treatment regimen with docetaxel and carboplatin. 3.as a single agent following multi-modality anthracycline based therapy. In combination with paclitaxel for first-line treatment of HER2-overexpressing metastatic breast cancer. As a single agent for treatment of HER2-overexpressing breast cancer in patients who have received one or more chemotherapy regimens for metastatic disease. In combination with cisplatin and capecitabine or 5-fluorouracil， for the treatment of patients with HER2-overexpressing metastatic gastric or gastroesophageal junction adenocarcinoma who have not received prior treatment for metastatic disease.,Patients with known hypersensitivity to trastuzumab or to any other component of Ogivri.,Common Dermatologic: Rash (Adjuvant breast cancer， 4%; metastatic breast cancer， 18% to 38% ) Endocrine metabolic: Weight decreased (23% ) Gastrointestinal: Diarrhea (7% to 51% )， Nausea (Adjuvant breast cancer， 6%; metastatic breast cancer， 33% to 76% )， Stomatitis (24% )， Vomiting (Adjuvant breast cancer， 3.5%; metastatic breast cancer， 23% to 53% ) Hematologic: Anemia， All Grades (4% to 36% )， Neutropenia， All Grades (Breast cancer， 6.4%; gastric cancer， 78% )， Thrombocytopenia， All Grades (16% ) Immunologic: Infectious disease (20% to 47% ) Neurologic: Headache (Adjuvant breast cancer， 6.2% to 10%; metastatic breast cancer， 26% to 44% )， Insomnia (Adjuvant breast cancer， 4.3%; metastatic breast cancer， 14% to 29% ) Respiratory: Cough (Adjuvant breast cancer， 5%; metastatic breast cancer， 26% to 43% ) Other: Fatigue (29.5% to 35% )， Fever (Adjuvant breast cancer， 6%; metastatic breast cancer， 36% to 56%; gastric cancer， 18% )， Shivering (Adjuvant breast cancer， 5%; metastatic breast cancer， 32% to 41% ) Serious Cardiovascular: Cardiac dysrhythmia (3% )， Heart failure (Adjuvant breast cancer， 0.4% to 3.2%; metastatic breast cancer， 7% to 28% )， Left ventricular cardiac dysfunction (5% to 18.5% )， Myocardial ischemia， Grade 3 or 4 Hematologic: Febrile neutropenia (23% )， Neutropenia， Grade 3 or 4 (32% to 34% )， Thrombocytopenia， Grade 3 or 4 (5% )， Thrombosis (2.1% to 3.7% ) Immunologic: Hypersensitivity reaction (0.6% to 8% ) Renal: Renal failure Respiratory: Dyspnea (Adjuvant breast cancer， 2.4% to 11.8%; metastatic breast cancer， 22% to 42% )， Interstitial pneumonia， acute (0.2% to 0.7% )， Pulmonary hypertension (0.2% )， Pulmonary toxicity (14.3% ) Other: Infusion reaction (21% to 40% )， Tumor lysis syndrome,2-8℃,[Adjuvant Treatment of HER2-Overexpressing Breast Cancer] Administer at either: initial dose of 4 mg/kg over 90 minute IV infusion， then 2 mg/kg over 30 minute IV infusion weekly for 52 weeks， or initial dose of 8 mg/kg over 90 minutes IV infusion， then 6 mg/kg over 30 - 90 minutes IV infusion every 3 weeks for 52 weeks. [Metastatic HER2-Overexpressing Breast Cancer] Initial dose of 4 mg/kg as a 90 minute IV infusion followed by subsequent weekly doses of 2 mg/kg as 30 minute IV infusions. [Metastatic HER2-overexpressing Gastric Cancer] Initial dose of 8 mg/kg over 90 minutes IV infusion， followed by 6 mg/kg over 30-90 minutes IV infusion every 3 weeks.,無需調整劑量,[仿單]目前並不確知trastuzumab是否會分泌進入人類的乳汁，但人類的IgG會分泌進入人類的乳汁。已發表的資料顯示，乳汁抗體並不會大量進入新生兒及嬰兒的體內循環。對授乳食蟹猴投予相當於人類每週建議劑量(2毫克/公斤體重)之12.5倍的trastuzumab之後發現，trastuzumab會出現於乳汁中。血清中檢出trastuzumab的幼猴在出生後至3個月大期間並未發生任何生?或發育方面的不良影響；不過，動物乳汁中的trastuzumab含量並不能精確地反映人類乳汁中的含量。 由於許多藥物都會分泌進入人類的乳汁，且餵哺母乳的嬰兒可能會因接觸Ogivri而發生嚴重的不良反應，因此，應考慮Ogivri的排除半衰期及此藥物對母親的重要性，然後決定是否要停止餵哺母乳或是停用此藥。,無需調整劑量,沒有資料,Human data suggest risk in 2nd and 3 rd trimesters,[仿單]對孕婦投予trastuzumab會對胎兒造成傷害。根據上市後的病例報告，在懷孕期間使用trastuzumab會提高於第二及第三孕期出現羊水過少現象的風險。如果婦女在懷孕期間使用了trastuzumab，或於使用trastuzumab期間懷孕，應將胎兒可能受到的危害告知該名婦女。上市之後，在懷孕期間接受單一trastuzumab或與化學療法併用治療的婦女中曾有出現羊水過少現象的報告。其中有半數的婦女在停用trastuzumab之後即出現羊水指數上升的現象。有一個病例在羊水指數改善之後又重新開始使用trastuzumab，結果再度出現羊水過少的現象。上市之後，在接受trastuzumab的孕婦中曾有報導胎兒羊水過少症伴隨腎臟成?及/或功能受損的案例，其中有造成胎兒肺部器官發育不全而導致死亡的報導。對於在懷孕期間使用Ogivri的婦女，應監視是否出現羊水過少的現象。如果出現羊水過少的現象，即應進行適合其妊娠週數且符合社會照護標準的胎兒檢查。曾經在投予其他化學治療劑之後出現羊水過少的現象時以靜脈輸注(IV)的方式額外補充水份，結果頗有助益，但目前並不確知使用trastuzumab治療時以靜脈輸注之方式額外補充水份的效果。在以高達人類每週建議劑量(2毫克/公斤體重)之25倍的trastuzumab所進行的食蟹猴生殖研究中，並未發現任何顯示胎兒受到傷害的證據。不過，許多胚胎組織都有相當明顯的HER2蛋白過度表現的現象，包括心臟與神經組織；在缺乏HER2的突變小鼠中，胚胎皆於懷孕初期即死亡。針對猴子所進行的研究發現，在胎兒發育階段的初期(懷孕第20-50天)及後期(懷孕第120-150天)，trastuzumab會通過胎盤轉移至胎兒體內。由於動物生殖研究的結果並不？定能預測人類的反應，因此，只有在母親的潛在效益超越胎兒可能面臨之風險的情況下，才可於懷孕期間使用Ogivri。 育齡期婦女於Ogivri治療期間及治療結束後7個月內應被建議採取有效的避孕措施。 若孕婦接受Ogivri治療，或是病患在接受Ogivri治療期間或最後一劑Ogivri後7個月內懷孕，最好由跨科別團隊進行嚴密監測。,No (Limited) Human Data - Potential Toxicity 無(很少)資料 - 避免使用,[仿單]目前並不確知trastuzumab是否會分泌進入人類的乳汁，但人類的IgG會分泌進入人類的乳汁。已發表的資料顯示，乳汁抗體並不會大量進入新生兒及嬰兒的體內循環。對授乳食蟹猴投予相當於人類每週建議劑量(2毫克/公斤體重)之12.5倍的trastuzumab之後發現，trastuzumab會出現於乳汁中。血清中檢出trastuzumab的幼猴在出生後至3個月大期間並未發生任何生?或發育方面的不良影響；不過，動物乳汁中的trastuzumab含量並不能精確地反映人類乳汁中的含量。 由於許多藥物都會分泌進入人類的乳汁，且餵哺母乳的嬰兒可能會因接觸Ogivri而發生嚴重的不良反應，因此，應考慮Ogivri的排除半衰期及此藥物對母親的重要性，然後決定是否要停止餵哺母乳或是停用此藥。,IVD;,包裝中的稀釋液(20 毫升含1.1%苯甲醇的制菌注射用水)。,【N/S】可選 仿單建議。,,抽取病患藥物量後加到裝有0.9%氯化鈉250 毫升的注射袋中稀釋，起始劑量建議靜脈輸注90 分鐘。維持劑量時若病人對先前劑量的耐受力佳，可輸注30 分鐘即可。,1.配製的說明: 使用無菌針筒，慢慢注入20 毫升制菌注射用水於含凍晶Ogivri 的小瓶，直接注射至凍晶塊。再溫和地轉動小瓶幫助調配，不要搖晃。 2.使用包裝中所提供的制菌注射用水混合後的配製後溶液，冷藏在2-8℃可以維持28 天的安定。如果使用滅菌水配製則僅維持24 小時安定，之後必須丟棄。 3.配製於裝有0.9%氯化鈉溶液的注射用袋中，在2-8℃下其物化性質可維持穩定24 小時。 4.禁止使用5%的dextrose 溶液，因為會引起蛋白質凝集。
IENV,Inactivated EV71 whole virus,Envacgen inj 0.5mL/dose,HIMM,Primary immunization for infants and toddlers aged 2 months to less than 6 years to prevent diseases caused by enterovirus type 71 infection.,Previous severe allergic reaction to this vaccine. Known allergy to any vaccine component. Severe allergy to formaldehyde.,Reduced appetite， drowsiness， diarrhea， vomiting， nausea， injection site pain， fever， injection site swelling， injection site redness， injection site bruising， injection site lump， restlessness， limited limb mobility， rash， erythema， ecchymosis， urticaria， and allergy.,避光冷藏儲存(2-8℃),For infants aged 2 months to under 6 years: One 0.5 mL muscle injection in the upper arm or thigh， two doses with a 56-day gap. For infants under 2 at first dose， consider a booster after one year.,無需調整劑量,[仿單] 不適用。本疫苗施打族群為2個月以上至未滿6歲之嬰幼兒。 目前尚無本疫苗使用於授乳期間婦女之相關資料。,無需調整劑量,沒有資料,Uknown 沒有資料,[仿單] 不適用。本疫苗施打族群為2個月以上至未滿6歲之嬰幼兒。 目前尚無本疫苗使用於懷孕婦女之相關資料。,Unknown 沒有資料,[仿單] 不適用。本疫苗施打族群為2個月以上至未滿6歲之嬰幼兒。 目前尚無本疫苗使用於授乳期間婦女之相關資料。,IM;,,,,,1. 施打此疫苗前後14天禁止施打其他活性減毒疫苗。 2. 無相容性研究，本品不得與其他藥物混合使用。 3. 疫苗外觀為無色澄明液，使用前請輕輕上下倒轉混合均勻為混濁白色懸浮液。 4. 僅供肌肉注射，勿以血管內、皮下或皮內注射方式施打疫苗。
LOSTAS,Oseltamivir Phosphate,Oseltamivir Phosphate 6mg/mL， 60mL oral suspension,QANB,Treatment of influenza in adults and children (including full-term newborns). Prevention of influenza in adults and children aged 1 and above.,Known allergies to oseltamivir phosphate or any of its components.,Vomiting， nausea， pain， headache.,25°C以下。調配後：冷藏(2-8℃)17天或室溫(<25℃)10天,Treatment of influenza: must begin treatment within the first or second day of experiencing influenza symptoms. - Adults and adolescents (>=13years): 75mg PO BID for 5 days. - Children (dosages based on body weight): ? 15kg: 30mg (5mL) PO BID for 5 days. 15-23kg: 45mg (7.5mL) PO BID for 5 days. 23-40kg: 60mg (10mL) PO BID for 5 days. ? 40kg: 75mg (12.5mL) PO BID for 5 days. - Children under 1 year: 3mg/kg PO BID for 5 days (not for infants with a gestational age of <36 weeks). Prophylaxis of influenza: must begin prophylaxis within 2 days of exposure to the source. - Adults and adolescents: 75mg PO QD for 10 or more days (safety and efficacy confirmed for 6 weeks). - Children (dosages based on body weight): ? 15kg: 30mg (5mL) PO QD for 10 days. 15-23kg: 45mg (7.5mL) PO QD for 10 days. 23-40kg: 60mg (10mL) PO QD for 10 days. ? 40kg: 75mg (12.5mL) PO QD for 10 days.,無需調整劑量,[仿單] 在授乳大鼠中發現，Oseltamivir 及其活性代謝物會被分泌至乳汁中。授乳母親服用Oseltamivir 對吸吮母乳之幼兒的影響及Oseltamivir 排泄於乳汁中的資訊非常有限。有限的資料顯示， Oseltamivir及其活性代謝物可在乳汁中被偵測出來，但其濃度低所以對於嬰兒而言低於治療劑量。 基於上述資訊、正在流行中之流行性感冒病毒株之致病性及授乳婦女的潛在狀況，並確認 對授乳母親的益處大於可能對哺育中嬰兒的危險之後，可能可以給予授乳婦女。,需調整劑量,沒有資料,Compatible – maternal benefit >> embryo-fetal risk,[仿單] 從上市後報告及觀察性研究中取得的資料和動物研究結果顯示對懷孕、胚胎/胎兒或 出生後的發育並無直接或間接的有害影響。在考量已知的安全性及效益資料、流行中之 流行性感冒病毒株的致病性、及懷孕婦女本身狀況後，懷孕婦女可能可使用。,Compatible 哺乳時可使用,[仿單] 在授乳大鼠中發現，Oseltamivir 及其活性代謝物會被分泌至乳汁中。授乳母親服用Oseltamivir 對吸吮母乳之幼兒的影響及Oseltamivir 排泄於乳汁中的資訊非常有限。有限的資料顯示， Oseltamivir及其活性代謝物可在乳汁中被偵測出來，但其濃度低所以對於嬰兒而言低於治療劑量。 基於上述資訊、正在流行中之流行性感冒病毒株之致病性及授乳婦女的潛在狀況，並確認 對授乳母親的益處大於可能對哺育中嬰兒的危險之後，可能可以給予授乳婦女。,AC;AC15;PC;PO;WM;,,,,,1. 配製方式：拍打罐子以鬆散粉末。將55毫升調冷水加入瓶中，蓋緊瓶蓋後搖勻至白色均勻懸液。 2. 調配後可冷藏(2-8℃)保存17天或室溫(<25℃)保存10天。 3. 可以和或不和食物一起服用。和食物一起服用可能可增加對藥物的耐受性。
OMAI,Methylcobalamin,Maiyitong 500mcg,CNEU,Peripheral neuropathies， megaloblastic anaemia caused by vit B12 deficiency.,Hypersensitivity to any component of the formulation.,Anorexia， nausea， vomiting and diarrhoea. Parenteral: Rash， headache， hot sensation.,對光不安定，需遮光保存,Adult: 500 mcg TID . May adjust dosage according to patient's age and synptoms.,無需調整劑量,,無需調整劑量,安全,Uknown 沒有資料,,Unknown 沒有資料,,AC;AC15;PC;PO;WM;,,,,,
